"Probennr.";"Ausreißkraft"
"2410";2207,85107421875
"2411";2220,95361328125
"2412";2150,16015625
"2413";1982,07141113281
"2414";2124,84497070313
"2415";1453,39392089844
"2416";1980,08862304688
"2417";1638,39282226563
"2418";1694,1298828125
"2419";1987,52221679688
"2420";2219,677734375
"2421";2162,01025390625
"2422";2009,20129394531
"2423";1763,60437011719
"2424";2247,05493164063
"2425";2132,40869140625
"2426";2246,11450195313
"2427";2120,87451171875
"2428";1743,111328125
"2429";2219,4873046875
"2430";2208,38696289063
"2431";1935,83288574219
"2432";2259,33081054688
"2433";2170,9658203125
"2434";2078,36303710938
"2435";2259,9345703125
"2436";2130,12744140625
" 2437";2247,2001953125
" 2438";2111,48950195313
" 2439";2161,56127929688
" 2440";2226,95727539063
" 2441";2156,11669921875
" 2442";2167,02807617188
" 2443";2118,23461914063
" 2444";2236,48608398438
" 2445";2276,50122070313
" 2446";1884,91479492188
" 2447";1943,3935546875
" 2448";2177,2998046875
" 2449";2219,9365234375
" 2450";2309,77880859375
" 2451";1972,78198242188
" 2452";2265,94116210938
" 2453";2205,927734375
" 2454";2239,1689453125
" 2455";1741,16223144531
" 2456";1688,8095703125
" 2457";1431,412109375
" 2458";1597,83251953125
" 2459";1729,06030273438
" 2460";2203,3837890625
" 2461";1806,75720214844
" 2462";2029,82165527344
" 2463";2233,3056640625
" 2464";2140,16381835938
" 2465";2293,50561523438
" 2466";2252,67456054688
" 2467";2310,50317382813
" 2468";2209,49047851563
" 2469";2141,1728515625
" 2470";2322,19604492188
" 2471";1604,51000976563
" 2472";2261,67993164063
" 2473";2001,42895507813
" 2474";1638,50817871094
" 2475";2219,77001953125
" 2476";2229,2568359375
" 2477";2043,27770996094
" 2478";1856,47814941406
" 2479";1207,56677246094
" 2480";2252,66772460938
" 2481";2047,27307128906
" 2482";2008,32702636719
" 2483";2020,62036132813
" 2484";1526,15588378906
" 2485";2358,2099609375
" 2486";2246,48388671875
" 2487";2055,01904296875
" 2488";2062,25
" 2489";2150,39331054688
" 2490";2141,37353515625
" 2491";2372,9208984375
" 2492";2094,56494140625
" 2493";2031,76745605469
" 2494";2086,85034179688
" 2495";1387,5556640625
" 2496";1750,35412597656
" 2497";1768,345703125
" 2498";2223,0947265625
" 2499";2248,2314453125
" 2500";2134,45385742188
" 2501";2093,9033203125
" 2502";2186,09326171875
" 2503";2174,87524414063
" 2504";2017,48132324219
" 2505";1479,52282714844
" 2506";2085,11791992188
" 2507";2237,23120117188
" 2508";2406,46948242188
" 2509";1606,88977050781
