T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2460,Terminalversatz,2203.3837890625
2,0.0,500.748,0.0,2460,Terminalversatz,2203.3837890625
3,0.0,500.748,0.0,2460,Terminalversatz,2203.3837890625
4,0.0,502.701,0.0,2460,Terminalversatz,2203.3837890625
5,0.0,500.748,0.0,2460,Terminalversatz,2203.3837890625
6,0.0,504.654,0.0,2460,Terminalversatz,2203.3837890625
7,0.0,506.607,0.0,2460,Terminalversatz,2203.3837890625
8,0.0,477.065,0.0,2460,Terminalversatz,2203.3837890625
9,0.0,423.597,0.0200043,2460,Terminalversatz,2203.3837890625
10,34.7529,407.971,0.0400009,2460,Terminalversatz,2203.3837890625
11,76.5633,380.139,0.0699997,2460,Terminalversatz,2203.3837890625
12,113.796,358.409,0.0999985,2460,Terminalversatz,2203.3837890625
13,177.885,336.68,0.139999,2460,Terminalversatz,2203.3837890625
14,252.045,336.68,0.169998,2460,Terminalversatz,2203.3837890625
15,325.9,324.961,0.200005,2460,Terminalversatz,2203.3837890625
16,385.411,328.867,0.239998,2460,Terminalversatz,2203.3837890625
17,451.941,297.372,0.270004,2460,Terminalversatz,2203.3837890625
18,516.03,305.185,0.309998,2460,Terminalversatz,2203.3837890625
19,577.982,323.008,0.340004,2460,Terminalversatz,2203.3837890625
20,639.63,309.091,0.370003,2460,Terminalversatz,2203.3837890625
21,691.511,321.055,0.400002,2460,Terminalversatz,2203.3837890625
22,738.205,324.961,0.419998,2460,Terminalversatz,2203.3837890625
23,785.203,346.69,0.440002,2460,Terminalversatz,2203.3837890625
24,852.039,334.727,0.459999,2460,Terminalversatz,2203.3837890625
25,908.803,352.55,0.480003,2460,Terminalversatz,2203.3837890625
26,965.568,346.69,0.489998,2460,Terminalversatz,2203.3837890625
27,1017.45,394.055,0.510002,2460,Terminalversatz,2203.3837890625
28,1044.61,388.195,0.520004,2460,Terminalversatz,2203.3837890625
29,1069.33,374.279,0.520004,2460,Terminalversatz,2203.3837890625
30,1116.02,399.915,0.529999,2460,Terminalversatz,2203.3837890625
31,1170.35,405.774,0.540001,2460,Terminalversatz,2203.3837890625
32,1212.46,409.925,0.540001,2460,Terminalversatz,2203.3837890625
33,1249.39,399.915,0.550003,2460,Terminalversatz,2203.3837890625
34,1278.99,429.456,0.550003,2460,Terminalversatz,2203.3837890625
35,1291.51,419.691,0.559998,2460,Terminalversatz,2203.3837890625
36,1308.6,437.513,0.57,2460,Terminalversatz,2203.3837890625
37,1362.92,411.878,0.57,2460,Terminalversatz,2203.3837890625
38,1409.92,413.831,0.580002,2460,Terminalversatz,2203.3837890625
39,1441.96,435.56,0.590004,2460,Terminalversatz,2203.3837890625
40,1474.01,409.925,0.599998,2460,Terminalversatz,2203.3837890625
41,1484.08,417.737,0.599998,2460,Terminalversatz,2203.3837890625
42,1481.64,419.691,0.610001,2460,Terminalversatz,2203.3837890625
43,1491.4,439.467,0.620003,2460,Terminalversatz,2203.3837890625
44,1525.89,409.925,0.620003,2460,Terminalversatz,2203.3837890625
45,1553.05,423.597,0.630005,2460,Terminalversatz,2203.3837890625
46,1572.89,403.821,0.639999,2460,Terminalversatz,2203.3837890625
47,1585.4,447.279,0.639999,2460,Terminalversatz,2203.3837890625
48,1572.89,437.513,0.650002,2460,Terminalversatz,2203.3837890625
49,1558.24,415.784,0.660004,2460,Terminalversatz,2203.3837890625
50,1587.84,447.279,0.660004,2460,Terminalversatz,2203.3837890625
51,1632.09,433.607,0.669998,2460,Terminalversatz,2203.3837890625
52,1659.25,439.467,0.68,2460,Terminalversatz,2203.3837890625
53,1679.09,423.597,0.690002,2460,Terminalversatz,2203.3837890625
54,1691.3,459.243,0.690002,2460,Terminalversatz,2203.3837890625
55,1686.41,441.42,0.700005,2460,Terminalversatz,2203.3837890625
56,1691.3,469.008,0.709999,2460,Terminalversatz,2203.3837890625
57,1743.18,425.55,0.720001,2460,Terminalversatz,2203.3837890625
58,1785.29,445.326,0.720001,2460,Terminalversatz,2203.3837890625
59,1810.01,469.008,0.730003,2460,Terminalversatz,2203.3837890625
60,1824.66,451.186,0.739998,2460,Terminalversatz,2203.3837890625
61,1819.78,445.326,0.739998,2460,Terminalversatz,2203.3837890625
62,1797.5,453.383,0.75,2460,Terminalversatz,2203.3837890625
63,1795.06,469.008,0.760002,2460,Terminalversatz,2203.3837890625
64,1827.11,461.196,0.760002,2460,Terminalversatz,2203.3837890625
65,1846.94,455.336,0.770004,2460,Terminalversatz,2203.3837890625
