T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,1637,Gutschweißung,2850.0
2,0.0,502.701,0.0,1637,Gutschweißung,2850.0
3,0.0,502.701,0.0,1637,Gutschweißung,2850.0
4,0.0,502.701,0.0,1637,Gutschweißung,2850.0
5,0.0,506.607,0.0,1637,Gutschweißung,2850.0
6,0.0,508.56,0.0,1637,Gutschweißung,2850.0
7,0.0,510.514,0.0,1637,Gutschweißung,2850.0
8,0.0,480.972,0.00999451,1637,Gutschweißung,2850.0
9,0.0,427.503,0.0199966,1637,Gutschweißung,2850.0
10,53.5409,415.784,0.0400009,1637,Gutschweißung,2850.0
11,100.539,376.232,0.0799942,1637,Gutschweißung,2850.0
12,137.467,366.466,0.119995,1637,Gutschweißung,2850.0
13,191.79,340.831,0.169998,1637,Gutschweißung,2850.0
14,273.274,344.737,0.209999,1637,Gutschweißung,2850.0
15,349.876,323.008,0.259995,1637,Gutschweißung,2850.0
16,419.153,319.102,0.299995,1637,Gutschweißung,2850.0
17,480.8,297.372,0.349998,1637,Gutschweißung,2850.0
18,537.564,324.961,0.389999,1637,Gutschweißung,2850.0
19,591.887,312.998,0.43,1637,Gutschweißung,2850.0
20,646.21,312.998,0.470001,1637,Gutschweißung,2850.0
21,713.046,334.727,0.509995,1637,Gutschweißung,2850.0
22,782.018,332.774,0.540001,1637,Gutschweißung,2850.0
23,848.853,336.68,0.559998,1637,Gutschweißung,2850.0
24,910.501,342.784,0.589996,1637,Gutschweißung,2850.0
25,972.148,364.513,0.610001,1637,Gutschweißung,2850.0
26,1026.47,372.326,0.619995,1637,Gutschweißung,2850.0
27,1078.35,392.102,0.629997,1637,Gutschweißung,2850.0
28,1154.95,372.326,0.639999,1637,Gutschweißung,2850.0
29,1211.72,401.868,0.650002,1637,Gutschweißung,2850.0
30,1263.6,411.878,0.659996,1637,Gutschweißung,2850.0
31,1305.41,401.868,0.659996,1637,Gutschweißung,2850.0
32,1325.25,419.691,0.659996,1637,Gutschweißung,2850.0
33,1335.01,429.456,0.659996,1637,Gutschweißung,2850.0
34,1357.29,429.456,0.669998,1637,Gutschweißung,2850.0
