T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
2,0.0,504.654,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
3,0.0,504.654,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
4,0.0,504.654,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
5,0.0,502.701,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
6,0.0,504.654,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
7,0.0,504.654,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
8,0.0,475.112,0.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
9,0.0,429.456,0.0100021,2963,Sontrodeneinsätze gewechselt,2682.5673828125
10,0.0,409.925,0.0299988,2963,Sontrodeneinsätze gewechselt,2682.5673828125
11,1.25891,384.045,0.0599976,2963,Sontrodeneinsätze gewechselt,2682.5673828125
12,48.2574,366.466,0.0999985,2963,Sontrodeneinsätze gewechselt,2682.5673828125
13,115.093,340.831,0.129997,2963,Sontrodeneinsätze gewechselt,2682.5673828125
14,199.019,340.831,0.169998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
15,267.991,321.055,0.209999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
16,327.197,307.138,0.25,2963,Sontrodeneinsätze gewechselt,2682.5673828125
17,383.961,303.232,0.300003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
18,445.914,299.326,0.340004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
19,502.678,311.045,0.389999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
20,581.721,303.232,0.43,2963,Sontrodeneinsätze gewechselt,2682.5673828125
21,658.322,299.326,0.470001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
22,732.177,321.055,0.5,2963,Sontrodeneinsätze gewechselt,2682.5673828125
23,803.896,312.998,0.529999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
24,865.543,309.091,0.559998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
25,912.542,323.008,0.590004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
26,959.54,332.774,0.610001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
27,1016.3,336.68,0.639999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
28,1073.07,346.69,0.650002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
29,1117.32,342.784,0.669998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
30,1159.44,372.326,0.68,2963,Sontrodeneinsätze gewechselt,2682.5673828125
31,1176.83,382.092,0.690002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
32,1189.04,362.56,0.700005,2963,Sontrodeneinsätze gewechselt,2682.5673828125
33,1223.53,394.055,0.709999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
34,1275.41,405.774,0.720001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
35,1315.08,397.961,0.730003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
36,1352.01,392.102,0.730003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
37,1376.73,409.925,0.739998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
38,1394.12,409.925,0.75,2963,Sontrodeneinsätze gewechselt,2682.5673828125
39,1403.89,415.784,0.75,2963,Sontrodeneinsätze gewechselt,2682.5673828125
40,1450.89,425.55,0.760002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
41,1502.77,397.961,0.760002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
42,1537.26,421.644,0.770004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
43,1566.86,441.42,0.770004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
44,1574.18,392.102,0.779999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
45,1566.86,421.644,0.790001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
46,1571.74,429.456,0.790001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
47,1606.23,437.513,0.800003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
48,1638.58,425.55,0.800003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
49,1662.99,423.597,0.809998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
50,1680.39,423.597,0.82,2963,Sontrodeneinsätze gewechselt,2682.5673828125
51,1673.06,455.336,0.82,2963,Sontrodeneinsätze gewechselt,2682.5673828125
52,1653.23,431.654,0.830002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
53,1680.39,423.597,0.840004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
54,1734.71,472.915,0.840004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
55,1771.64,445.326,0.849998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
56,1801.24,441.42,0.849998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
57,1813.75,439.467,0.860001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
58,1808.87,459.243,0.870003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
59,1803.99,467.055,0.870003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
60,1853.12,469.008,0.879997,2963,Sontrodeneinsätze gewechselt,2682.5673828125
61,1907.45,439.467,0.879997,2963,Sontrodeneinsätze gewechselt,2682.5673828125
62,1939.79,470.962,0.889999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
63,1964.21,477.065,0.889999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
64,1956.89,433.607,0.900002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
65,1932.17,463.149,0.900002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
66,1922.4,472.915,0.910004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
67,1954.44,479.019,0.910004,2963,Sontrodeneinsätze gewechselt,2682.5673828125
68,1986.49,465.102,0.919998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
69,2001.44,459.243,0.919998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
70,2003.88,469.008,0.93,2963,Sontrodeneinsätze gewechselt,2682.5673828125
71,1979.16,490.738,0.93,2963,Sontrodeneinsätze gewechselt,2682.5673828125
72,1939.79,463.149,0.93,2963,Sontrodeneinsätze gewechselt,2682.5673828125
73,1952.0,469.008,0.940002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
74,2006.32,510.514,0.940002,2963,Sontrodeneinsätze gewechselt,2682.5673828125
75,2035.93,482.925,0.950005,2963,Sontrodeneinsätze gewechselt,2682.5673828125
76,2053.32,477.065,0.950005,2963,Sontrodeneinsätze gewechselt,2682.5673828125
77,2053.32,479.019,0.950005,2963,Sontrodeneinsätze gewechselt,2682.5673828125
78,2031.04,490.738,0.959999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
79,2013.65,506.607,0.959999,2963,Sontrodeneinsätze gewechselt,2682.5673828125
80,2055.76,494.644,0.970001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
81,2107.65,475.112,0.970001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
82,2137.25,512.467,0.970001,2963,Sontrodeneinsätze gewechselt,2682.5673828125
83,2149.46,500.748,0.980003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
84,2129.93,469.008,0.980003,2963,Sontrodeneinsätze gewechselt,2682.5673828125
85,2095.13,494.644,0.989998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
86,2072.86,502.701,0.989998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
87,2100.02,506.607,0.989998,2963,Sontrodeneinsätze gewechselt,2682.5673828125
88,2124.74,496.597,1.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
89,2132.37,482.925,1.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
90,2129.93,498.795,1.0,2963,Sontrodeneinsätze gewechselt,2682.5673828125
91,2097.58,516.373,1.01,2963,Sontrodeneinsätze gewechselt,2682.5673828125
92,2055.76,484.878,1.01,2963,Sontrodeneinsätze gewechselt,2682.5673828125
93,2058.21,502.701,1.02,2963,Sontrodeneinsätze gewechselt,2682.5673828125
94,2107.65,532.243,1.02,2963,Sontrodeneinsätze gewechselt,2682.5673828125
95,2132.37,508.56,1.02,2963,Sontrodeneinsätze gewechselt,2682.5673828125
96,2147.02,500.748,1.03,2963,Sontrodeneinsätze gewechselt,2682.5673828125
97,2139.69,504.654,1.03,2963,Sontrodeneinsätze gewechselt,2682.5673828125
98,2110.09,514.42,1.03,2963,Sontrodeneinsätze gewechselt,2682.5673828125
99,2082.93,532.243,1.03,2963,Sontrodeneinsätze gewechselt,2682.5673828125
100,2119.85,514.42,1.04,2963,Sontrodeneinsätze gewechselt,2682.5673828125
101,2166.85,500.748,1.04,2963,Sontrodeneinsätze gewechselt,2682.5673828125
102,2191.57,534.196,1.04,2963,Sontrodeneinsätze gewechselt,2682.5673828125
103,2201.34,514.42,1.05,2963,Sontrodeneinsätze gewechselt,2682.5673828125
