T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2017,Öl auf Terminal,0.0
2,0.0,504.654,0.0,2017,Öl auf Terminal,0.0
3,0.0,502.701,0.0,2017,Öl auf Terminal,0.0
4,0.0,504.654,0.0,2017,Öl auf Terminal,0.0
5,0.0,502.701,0.0100021,2017,Öl auf Terminal,0.0
6,0.0,502.701,0.0100021,2017,Öl auf Terminal,0.0
7,0.0,506.607,0.0100021,2017,Öl auf Terminal,0.0
8,0.0,479.019,0.0100021,2017,Öl auf Terminal,0.0
9,0.0,433.607,0.0199966,2017,Öl auf Terminal,0.0
10,69.4296,421.644,0.0400009,2017,Öl auf Terminal,0.0
11,103.916,388.195,0.0699997,2017,Öl auf Terminal,0.0
12,143.284,372.326,0.110001,2017,Öl auf Terminal,0.0
13,202.795,350.597,0.150002,2017,Öl auf Terminal,0.0
14,276.65,344.737,0.199997,2017,Öl auf Terminal,0.0
15,345.927,332.774,0.239998,2017,Öl auf Terminal,0.0
16,407.575,312.998,0.290001,2017,Öl auf Terminal,0.0
17,459.456,307.138,0.339996,2017,Öl auf Terminal,0.0
18,513.779,297.372,0.389999,2017,Öl auf Terminal,0.0
19,572.985,317.148,0.440002,2017,Öl auf Terminal,0.0
20,627.308,321.055,0.480003,2017,Öl auf Terminal,0.0
21,671.865,311.045,0.519997,2017,Öl auf Terminal,0.0
22,735.954,336.68,0.559998,2017,Öl auf Terminal,0.0
23,810.114,338.633,0.589996,2017,Öl auf Terminal,0.0
24,876.644,348.643,0.620003,2017,Öl auf Terminal,0.0
25,941.038,346.69,0.639999,2017,Öl auf Terminal,0.0
26,1005.13,356.456,0.660004,2017,Öl auf Terminal,0.0
27,1054.57,376.232,0.68,2017,Öl auf Terminal,0.0
28,1099.12,394.055,0.690002,2017,Öl auf Terminal,0.0
29,1168.1,405.774,0.699997,2017,Öl auf Terminal,0.0
30,1227.3,392.102,0.709999,2017,Öl auf Terminal,0.0
31,1271.86,417.737,0.709999,2017,Öl auf Terminal,0.0
32,1313.67,419.691,0.709999,2017,Öl auf Terminal,0.0
33,1331.06,415.784,0.709999,2017,Öl auf Terminal,0.0
34,1338.39,427.503,0.720001,2017,Öl auf Terminal,0.0
35,1350.9,437.513,0.720001,2017,Öl auf Terminal,0.0
36,1390.27,433.607,0.720001,2017,Öl auf Terminal,0.0
37,1419.87,429.456,0.730003,2017,Öl auf Terminal,0.0
38,1451.92,419.691,0.730003,2017,Öl auf Terminal,0.0
39,1474.2,433.607,0.739998,2017,Öl auf Terminal,0.0
40,1479.08,445.326,0.739998,2017,Öl auf Terminal,0.0
41,1476.64,425.55,0.75,2017,Öl auf Terminal,0.0
42,1506.24,437.513,0.75,2017,Öl auf Terminal,0.0
43,1558.12,447.279,0.760002,2017,Öl auf Terminal,0.0
44,1590.47,439.467,0.760002,2017,Öl auf Terminal,0.0
45,1617.63,429.456,0.769997,2017,Öl auf Terminal,0.0
46,1639.61,447.279,0.779999,2017,Öl auf Terminal,0.0
47,1642.05,447.279,0.779999,2017,Öl auf Terminal,0.0
48,1652.12,465.102,0.790001,2017,Öl auf Terminal,0.0
49,1706.44,447.279,0.800003,2017,Öl auf Terminal,0.0
50,1758.32,439.467,0.800003,2017,Öl auf Terminal,0.0
51,1795.25,463.149,0.809998,2017,Öl auf Terminal,0.0
52,1824.85,445.326,0.82,2017,Öl auf Terminal,0.0
53,1832.18,447.279,0.830002,2017,Öl auf Terminal,0.0
54,1822.41,449.232,0.830002,2017,Öl auf Terminal,0.0
55,1829.74,470.962,0.839996,2017,Öl auf Terminal,0.0
56,1876.74,449.232,0.849998,2017,Öl auf Terminal,0.0
57,1896.57,455.336,0.860001,2017,Öl auf Terminal,0.0
58,1923.73,437.513,0.860001,2017,Öl auf Terminal,0.0
59,1940.82,469.008,0.870003,2017,Öl auf Terminal,0.0
60,1938.38,472.915,0.879997,2017,Öl auf Terminal,0.0
61,1911.22,453.383,0.879997,2017,Öl auf Terminal,0.0
62,1921.29,477.065,0.889999,2017,Öl auf Terminal,0.0
63,1973.17,477.065,0.889999,2017,Öl auf Terminal,0.0
64,2012.54,479.019,0.900002,2017,Öl auf Terminal,0.0
65,2037.26,459.243,0.910004,2017,Öl auf Terminal,0.0
66,2051.91,494.644,0.910004,2017,Öl auf Terminal,0.0
67,2039.7,482.925,0.919998,2017,Öl auf Terminal,0.0
68,2027.5,508.56,0.919998,2017,Öl auf Terminal,0.0
69,2061.98,472.915,0.93,2017,Öl auf Terminal,0.0
70,2121.19,477.065,0.93,2017,Öl auf Terminal,0.0
71,2155.68,500.748,0.940002,2017,Öl auf Terminal,0.0
72,2180.4,477.065,0.940002,2017,Öl auf Terminal,0.0
73,2180.4,486.831,0.949997,2017,Öl auf Terminal,0.0
74,2158.12,484.878,0.949997,2017,Öl auf Terminal,0.0
75,2141.03,506.607,0.959999,2017,Öl auf Terminal,0.0
76,2173.07,469.008,0.959999,2017,Öl auf Terminal,0.0
77,2210.0,488.784,0.970001,2017,Öl auf Terminal,0.0
78,2234.72,467.055,0.970001,2017,Öl auf Terminal,0.0
79,2239.6,510.514,0.980003,2017,Öl auf Terminal,0.0
80,2222.51,498.795,0.980003,2017,Öl auf Terminal,0.0
81,2187.72,480.972,0.989998,2017,Öl auf Terminal,0.0
82,2190.47,496.597,0.989998,2017,Öl auf Terminal,0.0
83,2249.67,510.514,1.0,2017,Öl auf Terminal,0.0
84,2289.04,498.795,1.0,2017,Öl auf Terminal,0.0
85,2313.76,482.925,1.01,2017,Öl auf Terminal,0.0
86,2323.53,502.701,1.01,2017,Öl auf Terminal,0.0
87,2303.99,508.56,1.02,2017,Öl auf Terminal,0.0
88,2286.6,526.383,1.02,2017,Öl auf Terminal,0.0
89,2331.16,510.514,1.03,2017,Öl auf Terminal,0.0
90,2395.25,488.784,1.03,2017,Öl auf Terminal,0.0
91,2434.92,520.524,1.04,2017,Öl auf Terminal,0.0
92,2459.33,508.56,1.04,2017,Öl auf Terminal,0.0
93,2456.89,500.748,1.05,2017,Öl auf Terminal,0.0
94,2427.29,506.607,1.05,2017,Öl auf Terminal,0.0
95,2407.76,526.383,1.05,2017,Öl auf Terminal,0.0
96,2452.01,512.467,1.06,2017,Öl auf Terminal,0.0
97,2491.68,506.607,1.06,2017,Öl auf Terminal,0.0
98,2518.85,488.784,1.06,2017,Öl auf Terminal,0.0
99,2526.17,516.373,1.07,2017,Öl auf Terminal,0.0
