T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2024,Öl auf Terminal,364.0
2,0.0,504.654,0.0,2024,Öl auf Terminal,364.0
3,0.0,504.654,0.0,2024,Öl auf Terminal,364.0
4,0.0,506.607,0.0,2024,Öl auf Terminal,364.0
5,0.0,504.654,0.0,2024,Öl auf Terminal,364.0
6,0.0,504.654,0.0,2024,Öl auf Terminal,364.0
7,0.0,504.654,0.0,2024,Öl auf Terminal,364.0
8,0.0,467.055,0.0,2024,Öl auf Terminal,364.0
9,0.0,433.607,0.0199966,2024,Öl auf Terminal,364.0
10,58.9007,421.644,0.0400009,2024,Öl auf Terminal,364.0
11,96.1333,384.045,0.0699997,2024,Öl auf Terminal,364.0
12,133.061,376.232,0.110001,2024,Öl auf Terminal,364.0
13,189.825,346.69,0.159996,2024,Öl auf Terminal,364.0
14,263.985,348.643,0.209999,2024,Öl auf Terminal,364.0
15,332.957,332.774,0.25,2024,Öl auf Terminal,364.0
16,394.909,321.055,0.299995,2024,Öl auf Terminal,364.0
17,456.557,323.008,0.349998,2024,Öl auf Terminal,364.0
18,515.763,312.998,0.389999,2024,Öl auf Terminal,364.0
19,572.527,311.045,0.43,2024,Öl auf Terminal,364.0
20,631.733,319.102,0.470001,2024,Öl auf Terminal,364.0
21,688.498,324.961,0.510002,2024,Öl auf Terminal,364.0
22,742.82,336.68,0.540001,2024,Öl auf Terminal,364.0
23,816.98,340.831,0.57,2024,Öl auf Terminal,364.0
24,896.023,334.727,0.599998,2024,Öl auf Terminal,364.0
25,962.554,354.503,0.629997,2024,Öl auf Terminal,364.0
26,1029.39,356.456,0.650002,2024,Öl auf Terminal,364.0
27,1078.83,362.56,0.659996,2024,Öl auf Terminal,364.0
28,1115.76,380.139,0.68,2024,Öl auf Terminal,364.0
29,1157.87,397.961,0.690002,2024,Öl auf Terminal,364.0
30,1214.64,396.008,0.699997,2024,Öl auf Terminal,364.0
31,1256.45,403.821,0.699997,2024,Öl auf Terminal,364.0
32,1296.12,397.961,0.709999,2024,Öl auf Terminal,364.0
33,1325.72,421.644,0.709999,2024,Öl auf Terminal,364.0
34,1333.05,431.654,0.709999,2024,Öl auf Terminal,364.0
35,1333.05,413.831,0.720001,2024,Öl auf Terminal,364.0
36,1365.09,429.456,0.720001,2024,Öl auf Terminal,364.0
37,1414.53,433.607,0.729996,2024,Öl auf Terminal,364.0
38,1446.58,427.503,0.729996,2024,Öl auf Terminal,364.0
39,1481.06,417.737,0.739998,2024,Öl auf Terminal,364.0
40,1508.22,443.373,0.739998,2024,Öl auf Terminal,364.0
41,1518.3,437.513,0.75,2024,Öl auf Terminal,364.0
42,1530.5,455.336,0.75,2024,Öl auf Terminal,364.0
43,1582.38,435.56,0.760002,2024,Öl auf Terminal,364.0
44,1629.38,433.607,0.760002,2024,Öl auf Terminal,364.0
45,1663.87,455.336,0.769997,2024,Öl auf Terminal,364.0
46,1691.03,433.607,0.779999,2024,Öl auf Terminal,364.0
47,1701.1,441.42,0.779999,2024,Öl auf Terminal,364.0
48,1693.47,443.373,0.790001,2024,Öl auf Terminal,364.0
49,1705.98,459.243,0.790001,2024,Öl auf Terminal,364.0
50,1745.35,435.56,0.799995,2024,Öl auf Terminal,364.0
51,1774.96,445.326,0.809998,2024,Öl auf Terminal,364.0
52,1804.56,425.55,0.809998,2024,Öl auf Terminal,364.0
53,1814.63,461.196,0.82,2024,Öl auf Terminal,364.0
54,1804.56,459.243,0.830002,2024,Öl auf Terminal,364.0
55,1792.35,439.467,0.830002,2024,Öl auf Terminal,364.0
56,1821.95,469.008,0.839996,2024,Öl auf Terminal,364.0
57,1873.84,463.149,0.849998,2024,Öl auf Terminal,364.0
58,1910.76,469.008,0.849998,2024,Öl auf Terminal,364.0
59,1935.48,449.232,0.860001,2024,Öl auf Terminal,364.0
60,1945.25,486.831,0.870003,2024,Öl auf Terminal,364.0
61,1937.93,470.962,0.870003,2024,Öl auf Terminal,364.0
62,1937.93,496.597,0.879997,2024,Öl auf Terminal,364.0
63,1989.81,461.196,0.889999,2024,Öl auf Terminal,364.0
64,2039.25,457.289,0.889999,2024,Öl auf Terminal,364.0
65,2068.85,486.831,0.900002,2024,Öl auf Terminal,364.0
66,2086.25,479.019,0.900002,2024,Öl auf Terminal,364.0
67,2078.62,469.008,0.909996,2024,Öl auf Terminal,364.0
68,2053.9,482.925,0.909996,2024,Öl auf Terminal,364.0
69,2049.01,496.597,0.919998,2024,Öl auf Terminal,364.0
70,2091.13,486.831,0.919998,2024,Öl auf Terminal,364.0
71,2120.73,480.972,0.93,2024,Öl auf Terminal,364.0
72,2128.06,467.055,0.93,2024,Öl auf Terminal,364.0
73,2138.13,486.831,0.940002,2024,Öl auf Terminal,364.0
74,2120.73,504.654,0.940002,2024,Öl auf Terminal,364.0
75,2083.8,479.019,0.949997,2024,Öl auf Terminal,364.0
76,2086.25,494.644,0.949997,2024,Öl auf Terminal,364.0
77,2143.01,500.748,0.949997,2024,Öl auf Terminal,364.0
78,2179.94,494.644,0.959999,2024,Öl auf Terminal,364.0
79,2202.22,475.112,0.959999,2024,Öl auf Terminal,364.0
80,2211.98,498.795,0.970001,2024,Öl auf Terminal,364.0
81,2194.89,502.701,0.970001,2024,Öl auf Terminal,364.0
82,2175.05,524.43,0.979996,2024,Öl auf Terminal,364.0
83,2211.98,502.701,0.979996,2024,Öl auf Terminal,364.0
84,2271.19,488.784,0.989998,2024,Öl auf Terminal,364.0
85,2305.98,520.524,0.989998,2024,Öl auf Terminal,364.0
86,2325.51,500.748,0.989998,2024,Öl auf Terminal,364.0
87,2323.07,500.748,1.0,2024,Öl auf Terminal,364.0
88,2293.47,502.701,1.0,2024,Öl auf Terminal,364.0
89,2273.93,526.383,1.01,2024,Öl auf Terminal,364.0
90,2305.98,506.607,1.01,2024,Öl auf Terminal,364.0
91,2340.46,502.701,1.01,2024,Öl auf Terminal,364.0
92,2357.86,482.925,1.02,2024,Öl auf Terminal,364.0
93,2365.18,518.326,1.02,2024,Öl auf Terminal,364.0
94,2340.46,520.524,1.02,2024,Öl auf Terminal,364.0
95,2303.54,496.597,1.03,2024,Öl auf Terminal,364.0
96,2303.54,522.477,1.03,2024,Öl auf Terminal,364.0
97,2360.3,518.326,1.04,2024,Öl auf Terminal,364.0
98,2397.23,518.326,1.04,2024,Öl auf Terminal,364.0
99,2421.95,496.597,1.04,2024,Öl auf Terminal,364.0
100,2426.83,530.29,1.04,2024,Öl auf Terminal,364.0
101,2404.55,520.524,1.05,2024,Öl auf Terminal,364.0
102,2379.83,546.159,1.05,2024,Öl auf Terminal,364.0
103,2419.51,508.56,1.05,2024,Öl auf Terminal,364.0
104,2483.6,508.56,1.06,2024,Öl auf Terminal,364.0
105,2518.08,534.196,1.06,2024,Öl auf Terminal,364.0
106,2540.36,508.56,1.06,2024,Öl auf Terminal,364.0
107,2535.48,516.373,1.07,2024,Öl auf Terminal,364.0
108,2498.55,512.467,1.07,2024,Öl auf Terminal,364.0
109,2476.27,538.102,1.07,2024,Öl auf Terminal,364.0
110,2515.64,502.701,1.08,2024,Öl auf Terminal,364.0
111,2552.87,516.373,1.08,2024,Öl auf Terminal,364.0
112,2572.41,490.738,1.08,2024,Öl auf Terminal,364.0
113,2582.48,534.196,1.09,2024,Öl auf Terminal,364.0
114,2550.43,528.336,1.09,2024,Öl auf Terminal,364.0
115,2503.43,504.654,1.09,2024,Öl auf Terminal,364.0
116,2508.32,536.149,1.1,2024,Öl auf Terminal,364.0
117,2569.96,526.383,1.1,2024,Öl auf Terminal,364.0
118,2604.75,526.383,1.1,2024,Öl auf Terminal,364.0
119,2631.92,502.701,1.1,2024,Öl auf Terminal,364.0
120,2636.8,532.243,1.11,2024,Öl auf Terminal,364.0
121,2607.2,530.29,1.11,2024,Öl auf Terminal,364.0
122,2577.59,555.925,1.11,2024,Öl auf Terminal,364.0
123,2616.96,522.477,1.11,2024,Öl auf Terminal,364.0
124,2676.17,516.373,1.12,2024,Öl auf Terminal,364.0
125,2708.21,548.112,1.12,2024,Öl auf Terminal,364.0
126,2730.49,518.326,1.12,2024,Öl auf Terminal,364.0
127,2715.84,522.477,1.12,2024,Öl auf Terminal,364.0
128,2671.29,522.477,1.13,2024,Öl auf Terminal,364.0
129,2649.01,550.066,1.13,2024,Öl auf Terminal,364.0
130,2688.68,516.373,1.13,2024,Öl auf Terminal,364.0
131,2720.73,524.43,1.13,2024,Öl auf Terminal,364.0
132,2738.12,498.795,1.14,2024,Öl auf Terminal,364.0
133,2745.45,542.009,1.14,2024,Öl auf Terminal,364.0
134,2708.21,536.149,1.14,2024,Öl auf Terminal,364.0
135,2656.64,510.514,1.15,2024,Öl auf Terminal,364.0
