T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
2,0.0,504.654,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
3,0.0,502.701,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
4,0.0,504.654,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
5,0.0,504.654,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
6,0.0,504.654,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
7,0.0,506.607,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
8,0.0,472.915,0.0,3000,Sontrodeneinsätze gewechselt,2531.2294921875
9,0.0,427.503,0.0100021,3000,Sontrodeneinsätze gewechselt,2531.2294921875
10,0.0,407.971,0.0400009,3000,Sontrodeneinsätze gewechselt,2531.2294921875
11,0.0,378.185,0.0699997,3000,Sontrodeneinsätze gewechselt,2531.2294921875
12,22.7363,354.503,0.110001,3000,Sontrodeneinsätze gewechselt,2531.2294921875
13,81.9422,336.68,0.150002,3000,Sontrodeneinsätze gewechselt,2531.2294921875
14,160.985,317.148,0.190002,3000,Sontrodeneinsätze gewechselt,2531.2294921875
15,235.145,305.185,0.239998,3000,Sontrodeneinsätze gewechselt,2531.2294921875
16,296.792,275.643,0.290001,3000,Sontrodeneinsätze gewechselt,2531.2294921875
17,353.557,297.372,0.339996,3000,Sontrodeneinsätze gewechselt,2531.2294921875
18,410.321,279.55,0.389999,3000,Sontrodeneinsätze gewechselt,2531.2294921875
19,469.527,261.727,0.440002,3000,Sontrodeneinsätze gewechselt,2531.2294921875
20,541.246,317.148,0.489998,3000,Sontrodeneinsätze gewechselt,2531.2294921875
21,615.406,301.279,0.529999,3000,Sontrodeneinsätze gewechselt,2531.2294921875
22,681.936,309.091,0.559998,3000,Sontrodeneinsätze gewechselt,2531.2294921875
23,758.538,307.138,0.589996,3000,Sontrodeneinsätze gewechselt,2531.2294921875
24,827.815,332.774,0.610001,3000,Sontrodeneinsätze gewechselt,2531.2294921875
25,884.579,336.68,0.639999,3000,Sontrodeneinsätze gewechselt,2531.2294921875
26,955.992,366.466,0.650002,3000,Sontrodeneinsätze gewechselt,2531.2294921875
27,1030.15,340.831,0.669998,3000,Sontrodeneinsätze gewechselt,2531.2294921875
28,1091.8,372.326,0.68,3000,Sontrodeneinsätze gewechselt,2531.2294921875
29,1146.12,405.774,0.690002,3000,Sontrodeneinsätze gewechselt,2531.2294921875
30,1188.24,366.466,0.690002,3000,Sontrodeneinsätze gewechselt,2531.2294921875
31,1202.89,403.821,0.699997,3000,Sontrodeneinsätze gewechselt,2531.2294921875
32,1215.4,403.821,0.699997,3000,Sontrodeneinsätze gewechselt,2531.2294921875
33,1247.44,421.644,0.709999,3000,Sontrodeneinsätze gewechselt,2531.2294921875
34,1281.93,409.925,0.709999,3000,Sontrodeneinsätze gewechselt,2531.2294921875
