T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,1590,Gutschweißung,2840.0
2,0.0,504.654,0.0,1590,Gutschweißung,2840.0
3,0.0,506.607,0.0,1590,Gutschweißung,2840.0
4,0.0,506.607,0.0,1590,Gutschweißung,2840.0
5,0.0,508.56,0.0,1590,Gutschweißung,2840.0
6,0.0,508.56,0.0,1590,Gutschweißung,2840.0
7,0.0,506.607,0.0,1590,Gutschweißung,2840.0
8,0.0,479.019,0.0100021,1590,Gutschweißung,2840.0
9,0.0,435.56,0.0200043,1590,Gutschweißung,2840.0
10,71.5659,407.971,0.0400009,1590,Gutschweißung,2840.0
11,110.935,384.045,0.0699997,1590,Gutschweißung,2840.0
12,150.609,366.466,0.110001,1590,Gutschweißung,2840.0
13,214.698,352.55,0.150002,1590,Gutschweißung,2840.0
14,296.182,330.821,0.190002,1590,Gutschweißung,2840.0
15,367.901,326.914,0.239998,1590,Gutschweißung,2840.0
16,429.548,305.185,0.279999,1590,Gutschweißung,2840.0
17,483.871,312.998,0.330002,1590,Gutschweißung,2840.0
18,538.194,312.998,0.379997,1590,Gutschweißung,2840.0
19,590.075,301.279,0.419998,1590,Gutschweißung,2840.0
20,644.398,314.951,0.459999,1590,Gutschweißung,2840.0
21,713.37,319.102,0.489998,1590,Gutschweißung,2840.0
22,777.764,321.055,0.529999,1590,Gutschweißung,2840.0
23,834.529,324.961,0.550003,1590,Gutschweißung,2840.0
24,898.617,324.961,0.580002,1590,Gutschweißung,2840.0
25,955.382,344.737,0.599998,1590,Gutschweißung,2840.0
26,1007.26,350.597,0.620003,1590,Gutschweißung,2840.0
27,1076.54,370.373,0.639999,1590,Gutschweißung,2840.0
28,1145.51,350.597,0.650002,1590,Gutschweißung,2840.0
29,1202.28,378.185,0.669998,1590,Gutschweißung,2840.0
30,1254.16,388.195,0.68,1590,Gutschweißung,2840.0
31,1288.64,380.139,0.68,1590,Gutschweißung,2840.0
32,1306.04,396.008,0.690002,1590,Gutschweißung,2840.0
33,1325.88,407.971,0.700005,1590,Gutschweißung,2840.0
34,1372.88,411.878,0.700005,1590,Gutschweißung,2840.0
35,1409.8,399.915,0.709999,1590,Gutschweißung,2840.0
36,1441.85,399.915,0.709999,1590,Gutschweißung,2840.0
37,1471.45,399.915,0.720001,1590,Gutschweißung,2840.0
38,1478.77,425.55,0.730003,1590,Gutschweißung,2840.0
39,1481.52,407.971,0.730003,1590,Gutschweißung,2840.0
40,1508.68,407.971,0.739998,1590,Gutschweißung,2840.0
41,1567.89,423.597,0.75,1590,Gutschweißung,2840.0
