T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2071,Öl auf Terminal,1090.0
2,0.0,506.607,0.0,2071,Öl auf Terminal,1090.0
3,0.0,506.607,0.0,2071,Öl auf Terminal,1090.0
4,0.0,502.701,0.0100021,2071,Öl auf Terminal,1090.0
5,0.0,506.607,0.0100021,2071,Öl auf Terminal,1090.0
6,0.0,504.654,0.0100021,2071,Öl auf Terminal,1090.0
7,0.0,506.607,0.0100021,2071,Öl auf Terminal,1090.0
8,0.0,480.972,0.0100021,2071,Öl auf Terminal,1090.0
9,0.0,421.644,0.0199966,2071,Öl auf Terminal,1090.0
10,61.4757,425.55,0.0500031,2071,Öl auf Terminal,1090.0
11,98.4031,380.139,0.0800018,2071,Öl auf Terminal,1090.0
12,132.889,366.466,0.120003,2071,Öl auf Terminal,1090.0
13,192.095,358.409,0.169998,2071,Öl auf Terminal,1090.0
14,261.372,342.784,0.209999,2071,Öl auf Terminal,1090.0
15,333.09,330.821,0.260002,2071,Öl auf Terminal,1090.0
16,392.296,317.148,0.309998,2071,Öl auf Terminal,1090.0
17,449.061,319.102,0.349998,2071,Öl auf Terminal,1090.0
18,503.384,319.102,0.389999,2071,Öl auf Terminal,1090.0
19,562.59,336.68,0.43,2071,Öl auf Terminal,1090.0
20,631.561,309.091,0.470001,2071,Öl auf Terminal,1090.0
21,698.397,328.867,0.5,2071,Öl auf Terminal,1090.0
22,760.044,348.643,0.540001,2071,Öl auf Terminal,1090.0
23,819.25,334.727,0.559998,2071,Öl auf Terminal,1090.0
24,871.132,356.456,0.590004,2071,Öl auf Terminal,1090.0
25,920.572,364.513,0.610001,2071,Öl auf Terminal,1090.0
26,979.778,390.149,0.620003,2071,Öl auf Terminal,1090.0
27,1041.73,382.092,0.639999,2071,Öl auf Terminal,1090.0
28,1088.42,397.961,0.650002,2071,Öl auf Terminal,1090.0
29,1137.86,392.102,0.660004,2071,Öl auf Terminal,1090.0
30,1169.91,435.56,0.660004,2071,Öl auf Terminal,1090.0
31,1187.3,423.597,0.660004,2071,Öl auf Terminal,1090.0
32,1197.07,419.691,0.669998,2071,Öl auf Terminal,1090.0
33,1244.07,447.279,0.669998,2071,Öl auf Terminal,1090.0
34,1285.88,433.607,0.669998,2071,Öl auf Terminal,1090.0
35,1315.79,439.467,0.68,2071,Öl auf Terminal,1090.0
36,1345.39,421.644,0.68,2071,Öl auf Terminal,1090.0
37,1367.36,451.186,0.690002,2071,Öl auf Terminal,1090.0
38,1379.88,439.467,0.690002,2071,Öl auf Terminal,1090.0
39,1407.04,463.149,0.699997,2071,Öl auf Terminal,1090.0
40,1461.36,423.597,0.699997,2071,Öl auf Terminal,1090.0
41,1505.92,437.513,0.709999,2071,Öl auf Terminal,1090.0
42,1537.96,459.243,0.720001,2071,Öl auf Terminal,1090.0
43,1565.12,431.654,0.720001,2071,Öl auf Terminal,1090.0
44,1570.01,445.326,0.730003,2071,Öl auf Terminal,1090.0
45,1565.12,441.42,0.730003,2071,Öl auf Terminal,1090.0
46,1587.4,459.243,0.739998,2071,Öl auf Terminal,1090.0
47,1626.77,429.456,0.739998,2071,Öl auf Terminal,1090.0
48,1653.93,447.279,0.75,2071,Öl auf Terminal,1090.0
49,1678.65,429.456,0.760002,2071,Öl auf Terminal,1090.0
50,1683.53,475.112,0.760002,2071,Öl auf Terminal,1090.0
51,1673.77,457.289,0.769997,2071,Öl auf Terminal,1090.0
52,1668.89,441.42,0.779999,2071,Öl auf Terminal,1090.0
53,1713.14,475.112,0.790001,2071,Öl auf Terminal,1090.0
54,1757.69,459.243,0.790001,2071,Öl auf Terminal,1090.0
55,1787.3,461.196,0.800003,2071,Öl auf Terminal,1090.0
56,1807.13,449.232,0.809998,2071,Öl auf Terminal,1090.0
57,1816.9,480.972,0.82,2071,Öl auf Terminal,1090.0
58,1807.13,467.055,0.830002,2071,Öl auf Terminal,1090.0
59,1826.67,494.644,0.830002,2071,Öl auf Terminal,1090.0
60,1888.62,445.326,0.840004,2071,Öl auf Terminal,1090.0
61,1925.55,469.008,0.849998,2071,Öl auf Terminal,1090.0
62,1952.71,486.831,0.849998,2071,Öl auf Terminal,1090.0
63,1964.92,457.289,0.860001,2071,Öl auf Terminal,1090.0
64,1955.15,477.065,0.870003,2071,Öl auf Terminal,1090.0
65,1937.75,479.019,0.870003,2071,Öl auf Terminal,1090.0
66,1947.82,494.644,0.879997,2071,Öl auf Terminal,1090.0
67,1989.64,467.055,0.879997,2071,Öl auf Terminal,1090.0
68,2009.47,480.972,0.889999,2071,Öl auf Terminal,1090.0
69,2019.24,465.102,0.889999,2071,Öl auf Terminal,1090.0
70,2009.47,514.42,0.900002,2071,Öl auf Terminal,1090.0
71,1982.31,488.784,0.900002,2071,Öl auf Terminal,1090.0
72,1967.36,480.972,0.910004,2071,Öl auf Terminal,1090.0
73,2011.91,512.467,0.919998,2071,Öl auf Terminal,1090.0
74,2048.84,492.691,0.919998,2071,Öl auf Terminal,1090.0
75,2071.12,490.738,0.919998,2071,Öl auf Terminal,1090.0
76,2083.63,484.878,0.93,2071,Öl auf Terminal,1090.0
77,2073.56,506.607,0.93,2071,Öl auf Terminal,1090.0
78,2056.47,500.748,0.940002,2071,Öl auf Terminal,1090.0
79,2066.24,520.524,0.940002,2071,Öl auf Terminal,1090.0
80,2125.44,472.915,0.949997,2071,Öl auf Terminal,1090.0
81,2162.68,504.654,0.949997,2071,Öl auf Terminal,1090.0
82,2182.21,512.467,0.959999,2071,Öl auf Terminal,1090.0
83,2187.4,482.925,0.959999,2071,Öl auf Terminal,1090.0
84,2167.56,506.607,0.970001,2071,Öl auf Terminal,1090.0
85,2137.96,512.467,0.970001,2071,Öl auf Terminal,1090.0
86,2150.16,518.326,0.980003,2071,Öl auf Terminal,1090.0
87,2187.4,494.644,0.980003,2071,Öl auf Terminal,1090.0
88,2204.49,500.748,0.989998,2071,Öl auf Terminal,1090.0
89,2214.56,492.691,0.989998,2071,Öl auf Terminal,1090.0
90,2199.6,536.149,0.989998,2071,Öl auf Terminal,1090.0
91,2160.23,508.56,1.0,2071,Öl auf Terminal,1090.0
92,2137.96,506.607,1.0,2071,Öl auf Terminal,1090.0
93,2182.21,538.102,1.01,2071,Öl auf Terminal,1090.0
94,2221.88,516.373,1.01,2071,Öl auf Terminal,1090.0
95,2241.72,506.607,1.01,2071,Öl auf Terminal,1090.0
96,2249.04,512.467,1.02,2071,Öl auf Terminal,1090.0
97,2234.09,526.383,1.02,2071,Öl auf Terminal,1090.0
98,2204.49,522.477,1.02,2071,Öl auf Terminal,1090.0
99,2214.56,548.112,1.03,2071,Öl auf Terminal,1090.0
100,2273.76,502.701,1.03,2071,Öl auf Terminal,1090.0
101,2313.13,516.373,1.04,2071,Öl auf Terminal,1090.0
102,2332.97,534.196,1.04,2071,Öl auf Terminal,1090.0
103,2330.53,504.654,1.04,2071,Öl auf Terminal,1090.0
104,2298.48,520.524,1.05,2071,Öl auf Terminal,1090.0
105,2263.69,518.326,1.05,2071,Öl auf Terminal,1090.0
106,2276.2,538.102,1.05,2071,Öl auf Terminal,1090.0
107,2313.13,500.748,1.06,2071,Öl auf Terminal,1090.0
108,2328.09,522.477,1.06,2071,Öl auf Terminal,1090.0
109,2332.97,498.795,1.06,2071,Öl auf Terminal,1090.0
110,2310.69,550.066,1.07,2071,Öl auf Terminal,1090.0
111,2266.13,528.336,1.07,2071,Öl auf Terminal,1090.0
112,2244.16,512.467,1.07,2071,Öl auf Terminal,1090.0
113,2285.97,546.159,1.08,2071,Öl auf Terminal,1090.0
114,2325.64,524.43,1.08,2071,Öl auf Terminal,1090.0
115,2345.18,524.43,1.08,2071,Öl auf Terminal,1090.0
116,2350.36,512.467,1.09,2071,Öl auf Terminal,1090.0
117,2332.97,546.159,1.09,2071,Öl auf Terminal,1090.0
118,2300.92,528.336,1.09,2071,Öl auf Terminal,1090.0
