T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2503,Terminalversatz,2174.87524414063
2,0.0,502.701,0.0,2503,Terminalversatz,2174.87524414063
3,0.0,502.701,0.0,2503,Terminalversatz,2174.87524414063
4,0.0,504.654,0.0,2503,Terminalversatz,2174.87524414063
5,0.0,504.654,0.0,2503,Terminalversatz,2174.87524414063
6,0.0,504.654,0.0,2503,Terminalversatz,2174.87524414063
7,0.0,506.607,0.0,2503,Terminalversatz,2174.87524414063
8,0.0,496.597,0.0,2503,Terminalversatz,2174.87524414063
9,0.0,435.56,0.00999451,2503,Terminalversatz,2174.87524414063
10,25.3876,421.644,0.0299988,2503,Terminalversatz,2174.87524414063
11,65.0616,390.149,0.0599976,2503,Terminalversatz,2174.87524414063
12,97.1061,362.56,0.0999985,2503,Terminalversatz,2174.87524414063
13,146.546,348.643,0.129997,2503,Terminalversatz,2174.87524414063
14,217.959,334.727,0.159996,2503,Terminalversatz,2174.87524414063
15,287.236,324.961,0.199997,2503,Terminalversatz,2174.87524414063
16,348.884,305.185,0.229996,2503,Terminalversatz,2174.87524414063
17,403.207,303.232,0.269997,2503,Terminalversatz,2174.87524414063
18,455.088,289.315,0.299995,2503,Terminalversatz,2174.87524414063
19,514.294,319.102,0.339996,2503,Terminalversatz,2174.87524414063
20,563.734,309.091,0.369995,2503,Terminalversatz,2174.87524414063
21,613.174,301.279,0.400002,2503,Terminalversatz,2174.87524414063
22,677.263,332.774,0.419998,2503,Terminalversatz,2174.87524414063
23,744.099,324.961,0.439995,2503,Terminalversatz,2174.87524414063
24,803.304,338.633,0.459999,2503,Terminalversatz,2174.87524414063
25,864.952,334.727,0.479996,2503,Terminalversatz,2174.87524414063
26,919.275,358.409,0.5,2503,Terminalversatz,2174.87524414063
27,961.39,358.409,0.509995,2503,Terminalversatz,2174.87524414063
28,1013.27,388.195,0.519997,2503,Terminalversatz,2174.87524414063
29,1079.8,358.409,0.540001,2503,Terminalversatz,2174.87524414063
30,1141.45,388.195,0.540001,2503,Terminalversatz,2174.87524414063
31,1188.45,407.971,0.549995,2503,Terminalversatz,2174.87524414063
32,1230.56,386.242,0.559998,2503,Terminalversatz,2174.87524414063
33,1247.65,407.971,0.559998,2503,Terminalversatz,2174.87524414063
34,1257.72,413.831,0.57,2503,Terminalversatz,2174.87524414063
35,1284.89,421.644,0.57,2503,Terminalversatz,2174.87524414063
36,1329.14,405.774,0.579994,2503,Terminalversatz,2174.87524414063
37,1361.18,413.831,0.579994,2503,Terminalversatz,2174.87524414063
38,1390.79,399.915,0.589996,2503,Terminalversatz,2174.87524414063
39,1405.74,443.373,0.589996,2503,Terminalversatz,2174.87524414063
40,1403.3,421.644,0.599998,2503,Terminalversatz,2174.87524414063
41,1408.18,411.878,0.610001,2503,Terminalversatz,2174.87524414063
42,1455.18,445.326,0.619995,2503,Terminalversatz,2174.87524414063
43,1494.55,423.597,0.619995,2503,Terminalversatz,2174.87524414063
44,1526.59,423.597,0.629997,2503,Terminalversatz,2174.87524414063
45,1551.31,417.737,0.639999,2503,Terminalversatz,2174.87524414063
46,1563.83,435.56,0.639999,2503,Terminalversatz,2174.87524414063
47,1561.38,429.456,0.650002,2503,Terminalversatz,2174.87524414063
48,1580.92,445.326,0.659996,2503,Terminalversatz,2174.87524414063
49,1632.8,407.971,0.659996,2503,Terminalversatz,2174.87524414063
50,1672.47,431.654,0.669998,2503,Terminalversatz,2174.87524414063
51,1697.19,441.42,0.68,2503,Terminalversatz,2174.87524414063
52,1714.28,413.831,0.689995,2503,Terminalversatz,2174.87524414063
53,1706.96,435.56,0.689995,2503,Terminalversatz,2174.87524414063
54,1689.56,441.42,0.699997,2503,Terminalversatz,2174.87524414063
55,1704.52,445.326,0.709999,2503,Terminalversatz,2174.87524414063
