T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2473,Terminalversatz,2001.42895507813
2,0.0,506.607,0.0,2473,Terminalversatz,2001.42895507813
3,0.0,506.607,0.0,2473,Terminalversatz,2001.42895507813
4,0.0,510.514,0.0,2473,Terminalversatz,2001.42895507813
5,0.0,506.607,0.0,2473,Terminalversatz,2001.42895507813
6,0.0,508.56,0.0,2473,Terminalversatz,2001.42895507813
7,0.0,508.56,0.0100021,2473,Terminalversatz,2001.42895507813
8,0.0,490.738,0.0100021,2473,Terminalversatz,2001.42895507813
9,0.0,435.56,0.0200043,2473,Terminalversatz,2001.42895507813
10,20.6953,417.737,0.0400009,2473,Terminalversatz,2001.42895507813
11,67.6938,392.102,0.0700073,2473,Terminalversatz,2001.42895507813
12,104.621,376.232,0.100006,2473,Terminalversatz,2001.42895507813
13,161.386,360.363,0.130005,2473,Terminalversatz,2001.42895507813
14,245.312,338.633,0.160004,2473,Terminalversatz,2001.42895507813
15,321.913,352.55,0.18,2473,Terminalversatz,2001.42895507813
16,381.119,336.68,0.210007,2473,Terminalversatz,2001.42895507813
17,433.0,319.102,0.240005,2473,Terminalversatz,2001.42895507813
18,492.206,342.784,0.270004,2473,Terminalversatz,2001.42895507813
19,554.159,332.774,0.300003,2473,Terminalversatz,2001.42895507813
20,613.365,338.633,0.320007,2473,Terminalversatz,2001.42895507813
21,667.688,332.774,0.340004,2473,Terminalversatz,2001.42895507813
22,717.128,352.55,0.360001,2473,Terminalversatz,2001.42895507813
23,769.009,354.503,0.380005,2473,Terminalversatz,2001.42895507813
24,825.774,382.092,0.400002,2473,Terminalversatz,2001.42895507813
25,907.258,354.503,0.410004,2473,Terminalversatz,2001.42895507813
26,968.905,378.185,0.43,2473,Terminalversatz,2001.42895507813
27,1028.11,396.008,0.440002,2473,Terminalversatz,2001.42895507813
28,1077.55,382.092,0.440002,2473,Terminalversatz,2001.42895507813
29,1112.04,399.915,0.450005,2473,Terminalversatz,2001.42895507813
30,1139.2,407.971,0.460007,2473,Terminalversatz,2001.42895507813
31,1176.13,423.597,0.470001,2473,Terminalversatz,2001.42895507813
