T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,1671,Gutschweißung,2770.0
2,0.0,502.701,0.0,1671,Gutschweißung,2770.0
3,0.0,502.701,0.0,1671,Gutschweißung,2770.0
4,0.0,504.654,0.0,1671,Gutschweißung,2770.0
5,0.0,504.654,0.0,1671,Gutschweißung,2770.0
6,0.0,506.607,0.0,1671,Gutschweißung,2770.0
7,0.0,506.607,0.0,1671,Gutschweißung,2770.0
8,0.0,479.019,0.0100021,1671,Gutschweißung,2770.0
9,0.0,425.55,0.0199966,1671,Gutschweißung,2770.0
10,53.1213,413.831,0.0400009,1671,Gutschweißung,2770.0
11,99.8146,384.045,0.0699997,1671,Gutschweißung,2770.0
12,144.372,376.232,0.110001,1671,Gutschweißung,2770.0
13,210.902,358.409,0.150002,1671,Gutschweißung,2770.0
14,295.133,348.643,0.190002,1671,Gutschweißung,2770.0
15,379.059,346.69,0.239998,1671,Gutschweißung,2770.0
16,443.148,323.008,0.279999,1671,Gutschweißung,2770.0
17,504.795,323.008,0.330002,1671,Gutschweißung,2770.0
18,564.001,305.185,0.370003,1671,Gutschweißung,2770.0
19,618.324,340.831,0.409996,1671,Gutschweißung,2770.0
20,670.206,326.914,0.449997,1671,Gutschweißung,2770.0
21,724.529,323.008,0.480003,1671,Gutschweißung,2770.0
22,798.688,350.597,0.510002,1671,Gutschweißung,2770.0
23,872.848,340.831,0.540001,1671,Gutschweißung,2770.0
24,944.262,348.643,0.559998,1671,Gutschweißung,2770.0
25,1013.54,346.69,0.580002,1671,Gutschweißung,2770.0
26,1070.3,370.373,0.599998,1671,Gutschweißung,2770.0
27,1119.74,376.232,0.620003,1671,Gutschweißung,2770.0
28,1181.39,397.961,0.629997,1671,Gutschweißung,2770.0
29,1257.99,374.279,0.639999,1671,Gutschweißung,2770.0
30,1314.76,401.868,0.639999,1671,Gutschweißung,2770.0
31,1366.64,415.784,0.650002,1671,Gutschweißung,2770.0
32,1406.01,396.008,0.650002,1671,Gutschweißung,2770.0
33,1420.96,417.737,0.659996,1671,Gutschweißung,2770.0
34,1430.73,423.597,0.659996,1671,Gutschweißung,2770.0
35,1465.21,433.607,0.659996,1671,Gutschweißung,2770.0
36,1507.33,413.831,0.669998,1671,Gutschweißung,2770.0
37,1536.93,421.644,0.669998,1671,Gutschweißung,2770.0
38,1566.53,411.878,0.68,1671,Gutschweißung,2770.0
39,1579.05,447.279,0.690002,1671,Gutschweißung,2770.0
40,1573.86,425.55,0.690002,1671,Gutschweißung,2770.0
41,1583.93,421.644,0.699997,1671,Gutschweißung,2770.0
42,1638.25,449.232,0.709999,1671,Gutschweißung,2770.0
43,1680.06,433.607,0.709999,1671,Gutschweißung,2770.0
44,1712.41,425.55,0.720001,1671,Gutschweißung,2770.0
45,1734.39,429.456,0.720001,1671,Gutschweißung,2770.0
46,1744.46,443.373,0.730003,1671,Gutschweißung,2770.0
47,1744.46,445.326,0.739998,1671,Gutschweißung,2770.0
48,1776.5,455.336,0.739998,1671,Gutschweißung,2770.0
49,1838.15,421.644,0.75,1671,Gutschweißung,2770.0
50,1877.82,449.232,0.75,1671,Gutschweißung,2770.0
51,1907.43,449.232,0.760002,1671,Gutschweißung,2770.0
52,1922.07,427.503,0.769997,1671,Gutschweißung,2770.0
53,1912.31,447.279,0.769997,1671,Gutschweißung,2770.0
54,1899.8,457.289,0.779999,1671,Gutschweißung,2770.0
55,1922.07,457.289,0.790001,1671,Gutschweißung,2770.0
56,1966.63,445.326,0.790001,1671,Gutschweißung,2770.0
57,1991.35,443.373,0.800003,1671,Gutschweißung,2770.0
58,2008.44,449.232,0.809998,1671,Gutschweißung,2770.0
59,1996.23,479.019,0.809998,1671,Gutschweißung,2770.0
60,1969.07,455.336,0.82,1671,Gutschweißung,2770.0
61,1959.31,459.243,0.82,1671,Gutschweißung,2770.0
62,2008.44,480.972,0.830002,1671,Gutschweißung,2770.0
63,2050.56,467.055,0.839996,1671,Gutschweißung,2770.0
64,2070.39,455.336,0.839996,1671,Gutschweißung,2770.0
65,2087.49,467.055,0.849998,1671,Gutschweißung,2770.0
66,2077.72,480.972,0.849998,1671,Gutschweißung,2770.0
67,2055.44,490.738,0.860001,1671,Gutschweißung,2770.0
68,2075.28,484.878,0.860001,1671,Gutschweißung,2770.0
69,2136.93,457.289,0.870003,1671,Gutschweißung,2770.0
70,2173.85,486.831,0.870003,1671,Gutschweißung,2770.0
71,2191.25,482.925,0.879997,1671,Gutschweißung,2770.0
72,2191.25,469.008,0.879997,1671,Gutschweißung,2770.0
73,2168.97,482.925,0.879997,1671,Gutschweißung,2770.0
74,2139.37,496.597,0.889999,1671,Gutschweißung,2770.0
75,2151.88,488.784,0.889999,1671,Gutschweißung,2770.0
76,2186.36,479.019,0.900002,1671,Gutschweißung,2770.0
77,2206.2,467.055,0.900002,1671,Gutschweißung,2770.0
78,2208.64,484.878,0.909996,1671,Gutschweißung,2770.0
79,2186.36,506.607,0.909996,1671,Gutschweißung,2770.0
80,2149.44,477.065,0.919998,1671,Gutschweißung,2770.0
81,2129.6,492.691,0.919998,1671,Gutschweißung,2770.0
82,2173.85,506.607,0.93,1671,Gutschweißung,2770.0
83,2208.64,492.691,0.93,1671,Gutschweißung,2770.0
84,2225.73,480.972,0.940002,1671,Gutschweißung,2770.0
85,2230.92,496.597,0.940002,1671,Gutschweißung,2770.0
86,2215.97,502.701,0.940002,1671,Gutschweißung,2770.0
87,2183.92,520.524,0.949997,1671,Gutschweißung,2770.0
88,2193.69,506.607,0.949997,1671,Gutschweißung,2770.0
89,2255.34,484.878,0.959999,1671,Gutschweißung,2770.0
90,2287.69,516.373,0.959999,1671,Gutschweißung,2770.0
91,2302.34,502.701,0.970001,1671,Gutschweißung,2770.0
92,2297.45,496.597,0.970001,1671,Gutschweißung,2770.0
93,2265.41,506.607,0.970001,1671,Gutschweißung,2770.0
94,2228.18,522.477,0.980003,1671,Gutschweißung,2770.0
95,2238.25,510.514,0.980003,1671,Gutschweißung,2770.0
96,2270.29,504.654,0.980003,1671,Gutschweißung,2770.0
97,2282.5,486.831,0.989998,1671,Gutschweißung,2770.0
98,2277.62,510.514,0.989998,1671,Gutschweißung,2770.0
99,2238.25,524.43,0.989998,1671,Gutschweißung,2770.0
100,2193.69,498.795,0.989998,1671,Gutschweißung,2770.0
101,2198.57,516.373,1.0,1671,Gutschweißung,2770.0
102,2245.57,520.524,1.0,1671,Gutschweißung,2770.0
103,2270.29,512.467,1.0,1671,Gutschweißung,2770.0
104,2280.06,496.597,1.01,1671,Gutschweißung,2770.0
105,2270.29,514.42,1.01,1671,Gutschweißung,2770.0
106,2240.69,516.373,1.01,1671,Gutschweißung,2770.0
107,2213.53,536.149,1.02,1671,Gutschweißung,2770.0
108,2248.01,516.373,1.02,1671,Gutschweißung,2770.0
109,2295.01,500.748,1.02,1671,Gutschweißung,2770.0
110,2317.29,530.29,1.03,1671,Gutschweißung,2770.0
111,2322.17,512.467,1.03,1671,Gutschweißung,2770.0
112,2302.34,508.56,1.03,1671,Gutschweißung,2770.0
113,2260.52,516.373,1.04,1671,Gutschweißung,2770.0
114,2230.92,530.29,1.04,1671,Gutschweißung,2770.0
115,2258.08,520.524,1.04,1671,Gutschweißung,2770.0
116,2280.06,512.467,1.04,1671,Gutschweißung,2770.0
117,2282.5,492.691,1.05,1671,Gutschweißung,2770.0
118,2272.73,522.477,1.05,1671,Gutschweißung,2770.0
119,2233.36,528.336,1.05,1671,Gutschweißung,2770.0
