T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,2444,Terminalversatz,2236.48608398438
2,0.0,504.654,0.0,2444,Terminalversatz,2236.48608398438
3,0.0,504.654,0.0,2444,Terminalversatz,2236.48608398438
4,0.0,506.607,0.0,2444,Terminalversatz,2236.48608398438
5,0.0,506.607,0.0100021,2444,Terminalversatz,2236.48608398438
6,0.0,508.56,0.0100021,2444,Terminalversatz,2236.48608398438
7,0.0,504.654,0.0100021,2444,Terminalversatz,2236.48608398438
8,0.0,477.065,0.0100021,2444,Terminalversatz,2236.48608398438
9,0.0,429.456,0.0199966,2444,Terminalversatz,2236.48608398438
10,24.3957,407.971,0.0400009,2444,Terminalversatz,2236.48608398438
11,68.9528,388.195,0.0699997,2444,Terminalversatz,2236.48608398438
12,108.322,350.597,0.110001,2444,Terminalversatz,2236.48608398438
13,165.086,340.831,0.150002,2444,Terminalversatz,2236.48608398438
14,244.129,336.68,0.18,2444,Terminalversatz,2236.48608398438
15,315.848,309.091,0.220001,2444,Terminalversatz,2236.48608398438
16,377.495,309.091,0.25,2444,Terminalversatz,2236.48608398438
17,426.935,299.326,0.290001,2444,Terminalversatz,2236.48608398438
18,481.258,311.045,0.32,2444,Terminalversatz,2236.48608398438
19,540.464,299.326,0.360001,2444,Terminalversatz,2236.48608398438
20,597.228,305.185,0.389999,2444,Terminalversatz,2236.48608398438
21,646.668,295.419,0.419998,2444,Terminalversatz,2236.48608398438
22,700.991,332.774,0.440002,2444,Terminalversatz,2236.48608398438
23,745.548,330.821,0.459999,2444,Terminalversatz,2236.48608398438
24,789.8,321.055,0.479996,2444,Terminalversatz,2236.48608398438
25,854.194,354.503,0.5,2444,Terminalversatz,2236.48608398438
26,918.283,352.55,0.519997,2444,Terminalversatz,2236.48608398438
27,972.606,362.56,0.529999,2444,Terminalversatz,2236.48608398438
28,1029.37,354.503,0.540001,2444,Terminalversatz,2236.48608398438
29,1071.49,394.055,0.549995,2444,Terminalversatz,2236.48608398438
30,1103.53,390.149,0.559998,2444,Terminalversatz,2236.48608398438
31,1142.9,417.737,0.57,2444,Terminalversatz,2236.48608398438
32,1209.73,382.092,0.57,2444,Terminalversatz,2236.48608398438
33,1256.43,403.821,0.580002,2444,Terminalversatz,2236.48608398438
34,1296.1,425.55,0.589996,2444,Terminalversatz,2236.48608398438
35,1333.03,397.961,0.589996,2444,Terminalversatz,2236.48608398438
36,1345.54,409.925,0.599998,2444,Terminalversatz,2236.48608398438
37,1347.98,409.925,0.599998,2444,Terminalversatz,2236.48608398438
38,1370.26,429.456,0.610001,2444,Terminalversatz,2236.48608398438
39,1409.63,397.961,0.619995,2444,Terminalversatz,2236.48608398438
40,1439.23,411.878,0.629997,2444,Terminalversatz,2236.48608398438
41,1463.95,394.055,0.629997,2444,Terminalversatz,2236.48608398438
42,1476.47,445.326,0.639999,2444,Terminalversatz,2236.48608398438
43,1468.84,425.55,0.650002,2444,Terminalversatz,2236.48608398438
44,1463.95,405.774,0.650002,2444,Terminalversatz,2236.48608398438
45,1500.88,443.373,0.659996,2444,Terminalversatz,2236.48608398438
46,1543.0,425.55,0.669998,2444,Terminalversatz,2236.48608398438
47,1567.72,429.456,0.669998,2444,Terminalversatz,2236.48608398438
48,1590.0,411.878,0.68,2444,Terminalversatz,2236.48608398438
49,1602.2,445.326,0.690002,2444,Terminalversatz,2236.48608398438
50,1597.32,429.456,0.699997,2444,Terminalversatz,2236.48608398438
51,1607.09,455.336,0.699997,2444,Terminalversatz,2236.48608398438
52,1661.41,403.821,0.709999,2444,Terminalversatz,2236.48608398438
53,1698.64,429.456,0.720001,2444,Terminalversatz,2236.48608398438
54,1725.8,453.383,0.729996,2444,Terminalversatz,2236.48608398438
55,1738.01,415.784,0.739998,2444,Terminalversatz,2236.48608398438
56,1735.57,439.467,0.739998,2444,Terminalversatz,2236.48608398438
57,1715.73,437.513,0.75,2444,Terminalversatz,2236.48608398438
58,1718.17,461.196,0.760002,2444,Terminalversatz,2236.48608398438
59,1748.08,431.654,0.769997,2444,Terminalversatz,2236.48608398438
60,1770.05,445.326,0.769997,2444,Terminalversatz,2236.48608398438
61,1777.68,423.597,0.779999,2444,Terminalversatz,2236.48608398438
62,1772.5,482.925,0.790001,2444,Terminalversatz,2236.48608398438
63,1742.89,455.336,0.790001,2444,Terminalversatz,2236.48608398438
64,1718.17,437.513,0.799995,2444,Terminalversatz,2236.48608398438
65,1752.96,480.972,0.799995,2444,Terminalversatz,2236.48608398438
66,1789.89,461.196,0.809998,2444,Terminalversatz,2236.48608398438
67,1809.73,461.196,0.82,2444,Terminalversatz,2236.48608398438
68,1819.49,445.326,0.82,2444,Terminalversatz,2236.48608398438
69,1817.05,475.112,0.830002,2444,Terminalversatz,2236.48608398438
70,1797.22,463.149,0.839996,2444,Terminalversatz,2236.48608398438
71,1797.22,492.691,0.839996,2444,Terminalversatz,2236.48608398438
72,1846.66,439.467,0.849998,2444,Terminalversatz,2236.48608398438
73,1878.7,467.055,0.849998,2444,Terminalversatz,2236.48608398438
74,1896.1,482.925,0.860001,2444,Terminalversatz,2236.48608398438
75,1900.98,447.279,0.860001,2444,Terminalversatz,2236.48608398438
76,1878.7,472.915,0.869995,2444,Terminalversatz,2236.48608398438
77,1851.54,472.915,0.879997,2444,Terminalversatz,2236.48608398438
78,1846.66,488.784,0.879997,2444,Terminalversatz,2236.48608398438
79,1873.82,461.196,0.889999,2444,Terminalversatz,2236.48608398438
80,1883.58,475.112,0.889999,2444,Terminalversatz,2236.48608398438
81,1888.77,455.336,0.900002,2444,Terminalversatz,2236.48608398438
82,1876.26,508.56,0.900002,2444,Terminalversatz,2236.48608398438
83,1839.33,484.878,0.909996,2444,Terminalversatz,2236.48608398438
84,1812.17,465.102,0.909996,2444,Terminalversatz,2236.48608398438
85,1836.89,506.607,0.919998,2444,Terminalversatz,2236.48608398438
86,1873.82,484.878,0.919998,2444,Terminalversatz,2236.48608398438
87,1886.33,486.831,0.93,2444,Terminalversatz,2236.48608398438
88,1893.65,470.962,0.93,2444,Terminalversatz,2236.48608398438
89,1883.58,504.654,0.940002,2444,Terminalversatz,2236.48608398438
90,1864.05,490.738,0.940002,2444,Terminalversatz,2236.48608398438
91,1859.17,518.326,0.949997,2444,Terminalversatz,2236.48608398438
92,1905.86,461.196,0.949997,2444,Terminalversatz,2236.48608398438
93,1937.91,490.738,0.959999,2444,Terminalversatz,2236.48608398438
94,1952.86,510.514,0.959999,2444,Terminalversatz,2236.48608398438
95,1952.86,472.915,0.970001,2444,Terminalversatz,2236.48608398438
