T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,1635,Gutschweißung,2730.0
2,0.0,504.654,0.0,1635,Gutschweißung,2730.0
3,0.0,502.701,0.0,1635,Gutschweißung,2730.0
4,0.0,502.701,0.0,1635,Gutschweißung,2730.0
5,0.0,502.701,0.0,1635,Gutschweißung,2730.0
6,0.0,504.654,0.0,1635,Gutschweißung,2730.0
7,0.0,504.654,0.0,1635,Gutschweißung,2730.0
8,0.0,477.065,0.0100021,1635,Gutschweißung,2730.0
9,0.0,425.55,0.0199966,1635,Gutschweißung,2730.0
10,69.6394,413.831,0.0400009,1635,Gutschweißung,2730.0
11,111.755,374.279,0.0699997,1635,Gutschweißung,2730.0
12,153.565,364.513,0.110001,1635,Gutschweißung,2730.0
13,217.654,328.867,0.159996,1635,Gutschweißung,2730.0
14,299.139,346.69,0.199997,1635,Gutschweißung,2730.0
15,365.974,319.102,0.25,1635,Gutschweißung,2730.0
16,422.739,299.326,0.299995,1635,Gutschweißung,2730.0
17,486.827,312.998,0.349998,1635,Gutschweißung,2730.0
18,556.104,307.138,0.400002,1635,Gutschweißung,2730.0
19,620.193,309.091,0.449997,1635,Gutschweißung,2730.0
20,691.912,301.279,0.489998,1635,Gutschweißung,2730.0
21,753.559,323.008,0.529999,1635,Gutschweißung,2730.0
22,817.648,323.008,0.559998,1635,Gutschweißung,2730.0
23,884.484,348.643,0.589996,1635,Gutschweißung,2730.0
24,973.292,317.148,0.619995,1635,Gutschweißung,2730.0
25,1059.66,342.784,0.639999,1635,Gutschweißung,2730.0
26,1128.94,366.466,0.659996,1635,Gutschweißung,2730.0
27,1195.47,346.69,0.68,1635,Gutschweißung,2730.0
28,1242.47,372.326,0.689995,1635,Gutschweißung,2730.0
29,1276.95,380.139,0.699997,1635,Gutschweißung,2730.0
30,1319.07,405.774,0.709999,1635,Gutschweißung,2730.0
31,1375.83,386.242,0.720001,1635,Gutschweißung,2730.0
32,1415.2,401.868,0.720001,1635,Gutschweißung,2730.0
33,1454.87,388.195,0.720001,1635,Gutschweißung,2730.0
34,1482.04,439.467,0.729996,1635,Gutschweißung,2730.0
35,1484.48,417.737,0.729996,1635,Gutschweißung,2730.0
36,1486.92,403.821,0.729996,1635,Gutschweißung,2730.0
37,1526.29,435.56,0.739998,1635,Gutschweißung,2730.0
38,1578.17,421.644,0.75,1635,Gutschweißung,2730.0
39,1617.84,421.644,0.75,1635,Gutschweißung,2730.0
40,1652.33,407.971,0.760002,1635,Gutschweißung,2730.0
41,1679.49,437.513,0.769997,1635,Gutschweißung,2730.0
42,1684.37,427.503,0.769997,1635,Gutschweißung,2730.0
43,1701.77,451.186,0.779999,1635,Gutschweißung,2730.0
44,1768.3,425.55,0.779999,1635,Gutschweißung,2730.0
45,1820.18,419.691,0.790001,1635,Gutschweißung,2730.0
46,1859.86,445.326,0.790001,1635,Gutschweißung,2730.0
47,1887.02,427.503,0.799995,1635,Gutschweißung,2730.0
48,1896.78,429.456,0.809998,1635,Gutschweißung,2730.0
49,1887.02,435.56,0.809998,1635,Gutschweißung,2730.0
50,1899.22,455.336,0.82,1635,Gutschweißung,2730.0
51,1946.22,427.503,0.830002,1635,Gutschweißung,2730.0
52,1978.27,437.513,0.830002,1635,Gutschweißung,2730.0
53,2002.99,417.737,0.839996,1635,Gutschweißung,2730.0
54,2010.31,453.383,0.849998,1635,Gutschweißung,2730.0
55,1993.22,451.186,0.849998,1635,Gutschweißung,2730.0
56,1973.38,431.654,0.860001,1635,Gutschweißung,2730.0
57,2007.87,459.243,0.869995,1635,Gutschweißung,2730.0
58,2062.19,457.289,0.869995,1635,Gutschweißung,2730.0
59,2096.68,459.243,0.879997,1635,Gutschweißung,2730.0
60,2116.52,437.513,0.889999,1635,Gutschweißung,2730.0
61,2121.4,477.065,0.889999,1635,Gutschweißung,2730.0
62,2106.75,463.149,0.900002,1635,Gutschweißung,2730.0
63,2104.31,492.691,0.900002,1635,Gutschweißung,2730.0
64,2158.63,459.243,0.909996,1635,Gutschweißung,2730.0
65,2207.77,459.243,0.919998,1635,Gutschweißung,2730.0
66,2237.67,486.831,0.919998,1635,Gutschweißung,2730.0
67,2249.88,463.149,0.93,1635,Gutschweißung,2730.0
68,2237.67,467.055,0.93,1635,Gutschweißung,2730.0
69,2207.77,467.055,0.939995,1635,Gutschweißung,2730.0
70,2195.56,492.691,0.939995,1635,Gutschweißung,2730.0
71,2234.93,457.289,0.949997,1635,Gutschweißung,2730.0
72,2259.65,472.915,0.949997,1635,Gutschweißung,2730.0
73,2267.28,447.279,0.959999,1635,Gutschweißung,2730.0
74,2257.21,490.738,0.959999,1635,Gutschweißung,2730.0
75,2222.72,486.831,0.970001,1635,Gutschweißung,2730.0
76,2180.6,465.102,0.970001,1635,Gutschweißung,2730.0
77,2200.44,492.691,0.979996,1635,Gutschweißung,2730.0
78,2242.56,486.831,0.979996,1635,Gutschweißung,2730.0
79,2264.84,492.691,0.989998,1635,Gutschweißung,2730.0
80,2272.16,467.055,0.989998,1635,Gutschweißung,2730.0
81,2264.84,508.56,1.0,1635,Gutschweißung,2730.0
82,2234.93,490.738,1.01,1635,Gutschweißung,2730.0
83,2220.28,516.373,1.01,1635,Gutschweißung,2730.0
84,2269.72,477.065,1.02,1635,Gutschweißung,2730.0
85,2313.97,482.925,1.02,1635,Gutschweißung,2730.0
86,2333.81,508.56,1.03,1635,Gutschweißung,2730.0
87,2341.13,480.972,1.03,1635,Gutschweißung,2730.0
88,2319.16,492.691,1.03,1635,Gutschweißung,2730.0
89,2284.37,488.784,1.04,1635,Gutschweißung,2730.0
90,2264.84,514.42,1.04,1635,Gutschweißung,2730.0
91,2296.88,477.065,1.05,1635,Gutschweißung,2730.0
92,2313.97,496.597,1.05,1635,Gutschweißung,2730.0
93,2321.6,472.915,1.06,1635,Gutschweißung,2730.0
94,2309.09,516.373,1.06,1635,Gutschweißung,2730.0
95,2264.84,506.607,1.06,1635,Gutschweißung,2730.0
96,2220.28,486.831,1.07,1635,Gutschweißung,2730.0
97,2232.49,514.42,1.07,1635,Gutschweißung,2730.0
98,2274.6,506.607,1.07,1635,Gutschweißung,2730.0
99,2296.88,508.56,1.08,1635,Gutschweißung,2730.0
100,2296.88,488.784,1.08,1635,Gutschweißung,2730.0
101,2289.25,528.336,1.08,1635,Gutschweißung,2730.0
102,2254.76,506.607,1.09,1635,Gutschweißung,2730.0
103,2232.49,534.196,1.09,1635,Gutschweißung,2730.0
104,2274.6,492.691,1.09,1635,Gutschweißung,2730.0
105,2319.16,502.701,1.1,1635,Gutschweißung,2730.0
106,2333.81,526.383,1.1,1635,Gutschweißung,2730.0
107,2338.69,496.597,1.1,1635,Gutschweißung,2730.0
108,2313.97,506.607,1.11,1635,Gutschweißung,2730.0
109,2274.6,504.654,1.11,1635,Gutschweißung,2730.0
110,2254.76,528.336,1.11,1635,Gutschweißung,2730.0
111,2281.93,488.784,1.12,1635,Gutschweißung,2730.0
112,2294.44,508.56,1.12,1635,Gutschweißung,2730.0
113,2299.32,484.878,1.12,1635,Gutschweißung,2730.0
114,2284.37,534.196,1.13,1635,Gutschweißung,2730.0
115,2240.12,518.326,1.13,1635,Gutschweißung,2730.0
116,2195.56,496.597,1.13,1635,Gutschweißung,2730.0
117,2202.88,528.336,1.13,1635,Gutschweißung,2730.0
118,2245.0,514.42,1.14,1635,Gutschweißung,2730.0
119,2259.65,518.326,1.14,1635,Gutschweißung,2730.0
120,2269.72,498.795,1.14,1635,Gutschweißung,2730.0
121,2254.76,536.149,1.15,1635,Gutschweißung,2730.0
122,2222.72,516.373,1.15,1635,Gutschweißung,2730.0
123,2200.44,544.206,1.15,1635,Gutschweißung,2730.0
124,2240.12,498.795,1.15,1635,Gutschweißung,2730.0
125,2281.93,512.467,1.16,1635,Gutschweißung,2730.0
126,2301.76,532.243,1.16,1635,Gutschweißung,2730.0
127,2306.65,502.701,1.16,1635,Gutschweißung,2730.0
128,2284.37,518.326,1.16,1635,Gutschweißung,2730.0
129,2245.0,516.373,1.17,1635,Gutschweißung,2730.0
130,2222.72,536.149,1.17,1635,Gutschweißung,2730.0
131,2247.44,500.748,1.17,1635,Gutschweißung,2730.0
132,2262.09,518.326,1.17,1635,Gutschweißung,2730.0
133,2267.28,492.691,1.18,1635,Gutschweißung,2730.0
134,2254.76,546.159,1.18,1635,Gutschweißung,2730.0
135,2212.95,524.43,1.18,1635,Gutschweißung,2730.0
136,2168.4,506.607,1.18999,1635,Gutschweißung,2730.0
137,2170.84,536.149,1.18999,1635,Gutschweißung,2730.0
138,2210.51,520.524,1.18999,1635,Gutschweißung,2730.0
139,2227.6,522.477,1.18999,1635,Gutschweißung,2730.0
140,2234.93,506.607,1.2,1635,Gutschweißung,2730.0
141,2222.72,544.206,1.2,1635,Gutschweißung,2730.0
142,2190.68,524.43,1.2,1635,Gutschweißung,2730.0
143,2170.84,552.019,1.2,1635,Gutschweißung,2730.0
144,2205.32,498.795,1.2,1635,Gutschweißung,2730.0
145,2249.88,522.477,1.21,1635,Gutschweißung,2730.0
146,2272.16,538.102,1.21,1635,Gutschweißung,2730.0
147,2277.04,506.607,1.21,1635,Gutschweißung,2730.0
148,2254.76,524.43,1.21,1635,Gutschweißung,2730.0
149,2217.84,522.477,1.22,1635,Gutschweißung,2730.0
150,2198.0,542.009,1.22,1635,Gutschweißung,2730.0
151,2220.28,504.654,1.22,1635,Gutschweißung,2730.0
152,2237.67,520.524,1.22,1635,Gutschweißung,2730.0
153,2242.56,500.748,1.22,1635,Gutschweißung,2730.0
154,2230.04,555.925,1.23,1635,Gutschweißung,2730.0
155,2190.68,528.336,1.23,1635,Gutschweißung,2730.0
156,2146.12,512.467,1.23,1635,Gutschweißung,2730.0
157,2151.0,540.056,1.23,1635,Gutschweißung,2730.0
158,2190.68,528.336,1.24,1635,Gutschweißung,2730.0
159,2210.51,528.336,1.24,1635,Gutschweißung,2730.0
160,2215.4,512.467,1.24,1635,Gutschweißung,2730.0
161,2205.32,548.112,1.24,1635,Gutschweißung,2730.0
162,2175.72,528.336,1.24,1635,Gutschweißung,2730.0
163,2153.44,557.878,1.25,1635,Gutschweißung,2730.0
164,2188.23,516.373,1.25,1635,Gutschweißung,2730.0
165,2234.93,522.477,1.25,1635,Gutschweißung,2730.0
166,2254.76,548.112,1.25,1635,Gutschweißung,2730.0
167,2262.09,518.326,1.25,1635,Gutschweißung,2730.0
168,2242.56,528.336,1.26,1635,Gutschweißung,2730.0
169,2205.32,526.383,1.26,1635,Gutschweißung,2730.0
170,2185.79,548.112,1.26,1635,Gutschweißung,2730.0
171,2215.4,512.467,1.26,1635,Gutschweißung,2730.0
172,2225.16,528.336,1.26,1635,Gutschweißung,2730.0
173,2225.16,504.654,1.26,1635,Gutschweißung,2730.0
174,2202.88,552.019,1.27,1635,Gutschweißung,2730.0
175,2161.07,536.149,1.27,1635,Gutschweißung,2730.0
176,2126.28,516.373,1.27,1635,Gutschweißung,2730.0
177,2153.44,548.112,1.27,1635,Gutschweißung,2730.0
178,2185.79,534.196,1.27,1635,Gutschweißung,2730.0
179,2200.44,536.149,1.28,1635,Gutschweißung,2730.0
180,2205.32,518.326,1.28,1635,Gutschweißung,2730.0
181,2183.35,557.878,1.28,1635,Gutschweißung,2730.0
182,2153.44,534.196,1.28,1635,Gutschweißung,2730.0
183,2148.56,561.785,1.28,1635,Gutschweißung,2730.0
184,2200.44,514.42,1.28,1635,Gutschweißung,2730.0
185,2230.04,528.336,1.29,1635,Gutschweißung,2730.0
186,2249.88,550.066,1.29,1635,Gutschweißung,2730.0
187,2247.44,520.524,1.29,1635,Gutschweißung,2730.0
188,2220.28,534.196,1.29,1635,Gutschweißung,2730.0
189,2183.35,530.29,1.29,1635,Gutschweißung,2730.0
190,2175.72,552.019,1.3,1635,Gutschweißung,2730.0
191,2205.32,514.42,1.3,1635,Gutschweißung,2730.0
192,2215.4,530.29,1.3,1635,Gutschweißung,2730.0
193,2217.84,508.56,1.3,1635,Gutschweißung,2730.0
194,2198.0,561.785,1.3,1635,Gutschweißung,2730.0
195,2153.44,538.102,1.3,1635,Gutschweißung,2730.0
196,2121.4,522.477,1.31,1635,Gutschweißung,2730.0
197,2141.24,552.019,1.31,1635,Gutschweißung,2730.0
198,2178.16,536.149,1.31,1635,Gutschweißung,2730.0
199,2190.68,538.102,1.31,1635,Gutschweißung,2730.0
200,2193.12,520.524,1.31,1635,Gutschweißung,2730.0
201,2175.72,555.925,1.31,1635,Gutschweißung,2730.0
202,2146.12,538.102,1.31,1635,Gutschweißung,2730.0
203,2136.35,565.935,1.32,1635,Gutschweißung,2730.0
204,2185.79,512.467,1.32,1635,Gutschweißung,2730.0
205,2220.28,534.196,1.32,1635,Gutschweißung,2730.0
206,2237.67,552.019,1.32,1635,Gutschweißung,2730.0
207,2237.67,522.477,1.32,1635,Gutschweißung,2730.0
208,2212.95,538.102,1.32,1635,Gutschweißung,2730.0
209,2175.72,536.149,1.33,1635,Gutschweißung,2730.0
210,2165.96,553.972,1.33,1635,Gutschweißung,2730.0
211,2195.56,520.524,1.33,1635,Gutschweißung,2730.0
212,2205.32,534.196,1.33,1635,Gutschweißung,2730.0
213,2207.77,514.42,1.33,1635,Gutschweißung,2730.0
214,2185.79,569.842,1.33,1635,Gutschweißung,2730.0
215,2146.12,542.009,1.33,1635,Gutschweißung,2730.0
216,2109.19,524.43,1.34,1635,Gutschweißung,2730.0
217,2129.03,548.112,1.34,1635,Gutschweißung,2730.0
218,2163.51,546.159,1.34,1635,Gutschweißung,2730.0
219,2175.72,542.009,1.34,1635,Gutschweißung,2730.0
220,2180.6,522.477,1.34,1635,Gutschweißung,2730.0
221,2163.51,552.019,1.34,1635,Gutschweißung,2730.0
222,2136.35,544.206,1.34,1635,Gutschweißung,2730.0
223,2123.84,567.888,1.35,1635,Gutschweißung,2730.0
224,2173.28,538.102,1.35,1635,Gutschweißung,2730.0
225,2207.77,532.243,1.35,1635,Gutschweißung,2730.0
226,2222.72,557.878,1.35,1635,Gutschweißung,2730.0
227,2222.72,534.196,1.35,1635,Gutschweißung,2730.0
228,2200.44,536.149,1.35,1635,Gutschweißung,2730.0
229,2163.51,536.149,1.35,1635,Gutschweißung,2730.0
230,2153.44,555.925,1.36,1635,Gutschweißung,2730.0
231,2180.6,528.336,1.36,1635,Gutschweißung,2730.0
232,2190.68,540.056,1.36,1635,Gutschweißung,2730.0
233,2193.12,516.373,1.36,1635,Gutschweißung,2730.0
234,2178.16,552.019,1.36,1635,Gutschweißung,2730.0
235,2136.35,550.066,1.36,1635,Gutschweißung,2730.0
236,2101.87,526.383,1.36,1635,Gutschweißung,2730.0
237,2118.96,552.019,1.36,1635,Gutschweißung,2730.0
238,2153.44,546.159,1.37,1635,Gutschweißung,2730.0
239,2168.4,546.159,1.37,1635,Gutschweißung,2730.0
240,2170.84,522.477,1.37,1635,Gutschweißung,2730.0
241,2158.63,557.878,1.37,1635,Gutschweißung,2730.0
242,2126.28,546.159,1.37,1635,Gutschweißung,2730.0
243,2116.52,571.795,1.37,1635,Gutschweißung,2730.0
244,2161.07,536.149,1.37,1635,Gutschweißung,2730.0
245,2195.56,536.149,1.38,1635,Gutschweißung,2730.0
246,2212.95,559.832,1.38,1635,Gutschweißung,2730.0
247,2217.84,538.102,1.38,1635,Gutschweißung,2730.0
248,2190.68,542.009,1.38,1635,Gutschweißung,2730.0
249,2156.19,540.056,1.38,1635,Gutschweißung,2730.0
250,2143.68,563.738,1.38,1635,Gutschweißung,2730.0
251,2168.4,530.29,1.38,1635,Gutschweißung,2730.0
252,2180.6,542.009,1.38,1635,Gutschweißung,2730.0
253,2183.35,518.326,1.38,1635,Gutschweißung,2730.0
254,2170.84,559.832,1.39,1635,Gutschweißung,2730.0
255,2131.47,552.019,1.39,1635,Gutschweißung,2730.0
256,2091.8,530.29,1.39,1635,Gutschweißung,2730.0
257,2109.19,557.878,1.39,1635,Gutschweißung,2730.0
258,2146.12,550.066,1.39,1635,Gutschweißung,2730.0
259,2158.63,548.112,1.39,1635,Gutschweißung,2730.0
260,2168.4,528.336,1.39,1635,Gutschweißung,2730.0
261,2153.44,567.888,1.39,1635,Gutschweißung,2730.0
262,2123.84,548.112,1.4,1635,Gutschweißung,2730.0
263,2109.19,573.748,1.4,1635,Gutschweißung,2730.0
264,2156.19,538.102,1.4,1635,Gutschweißung,2730.0
265,2190.68,538.102,1.4,1635,Gutschweißung,2730.0
266,2207.77,563.738,1.4,1635,Gutschweißung,2730.0
267,2207.77,538.102,1.4,1635,Gutschweißung,2730.0
268,2188.23,546.159,1.4,1635,Gutschweißung,2730.0
269,2153.44,542.009,1.4,1635,Gutschweißung,2730.0
270,2138.79,567.888,1.41,1635,Gutschweißung,2730.0
271,2168.4,528.336,1.41,1635,Gutschweißung,2730.0
272,2180.6,548.112,1.41,1635,Gutschweißung,2730.0
273,2183.35,522.477,1.41,1635,Gutschweißung,2730.0
274,2168.4,565.935,1.41,1635,Gutschweißung,2730.0
275,2131.47,555.925,1.41,1635,Gutschweißung,2730.0
276,2089.35,534.196,1.41,1635,Gutschweißung,2730.0
277,2106.75,563.738,1.41,1635,Gutschweißung,2730.0
278,2141.24,552.019,1.41,1635,Gutschweißung,2730.0
279,2156.19,553.972,1.42,1635,Gutschweißung,2730.0
280,2161.07,532.243,1.42,1635,Gutschweißung,2730.0
281,2151.0,573.748,1.42,1635,Gutschweißung,2730.0
282,2123.84,553.972,1.42,1635,Gutschweißung,2730.0
283,2106.75,579.608,1.42,1635,Gutschweißung,2730.0
284,2153.44,540.056,1.42,1635,Gutschweißung,2730.0
285,2190.68,548.112,1.42,1635,Gutschweißung,2730.0
286,2205.32,569.842,1.42,1635,Gutschweißung,2730.0
287,2210.51,540.056,1.42,1635,Gutschweißung,2730.0
288,2185.79,552.019,1.43,1635,Gutschweißung,2730.0
289,2153.44,550.066,1.43,1635,Gutschweißung,2730.0
290,2141.24,571.795,1.43,1635,Gutschweißung,2730.0
291,2165.96,532.243,1.43,1635,Gutschweißung,2730.0
292,2178.16,550.066,1.43,1635,Gutschweißung,2730.0
293,2180.6,526.383,1.43,1635,Gutschweißung,2730.0
294,2165.96,575.701,1.43,1635,Gutschweißung,2730.0
