mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_kernel;param_epsilon;param_C;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score;model_name;y_true;y_pred;Error
0,04045524597167969;0,008665702924205381;0,0023044586181640626;0,0005847208064868603;linear;0,1;0,1;{'kernel': 'linear', 'epsilon': 0.1, 'C': 0.1};-178560,70990508376;-165664,6735119725;-168134,2578369577;-199157,80867405943;-146574,53582520355;-171618,3971506554;17212,762331753875;11,0;svr01;2600,0;2423,866297358313;176,1337026416868
0,008147335052490235;0,002785107874245365;0,0070078372955322266;0,0015605121487815969;rbf;0,1;0,1;{'kernel': 'rbf', 'epsilon': 0.1, 'C': 0.1};-1094864,6456737095;-882122,3850600448;-1002894,1634053126;-1143874,546284728;-1232749,009357598;-1071300,9499562785;120296,02519351027;35,0;svr01;2750,0;2649,59136866931;100,40863133068979
0,005957651138305664;0,0014542014199010135;0,0019266128540039063;0,00046813837163743594;poly;0,1;0,1;{'kernel': 'poly', 'epsilon': 0.1, 'C': 0.1};-1056401,3475905478;-850581,6273374868;-966812,1199797156;-1102385,105236287;-1190732,2902608116;-1033382,4980809696;116531,50467674786;28,0;svr01;2770,0;2592,60998379592;177,39001620407998
0,041197776794433594;0,004712995248360466;0,002143239974975586;0,000616588347967115;linear;0,2;0,1;{'kernel': 'linear', 'epsilon': 0.2, 'C': 0.1};-178526,7849348006;-165679,8417420342;-168104,5841565346;-199171,9008851487;-146584,3042590489;-171613,4831955134;17211,858691568366;10,0;svr01;2660,0;2449,4321047008425;210,5678952991575
0,006187582015991211;0,0016308742255121682;0,006856489181518555;0,0017552677969078978;rbf;0,2;0,1;{'kernel': 'rbf', 'epsilon': 0.2, 'C': 0.1};-1094864,6456737095;-882122,3850600453;-1002894,1634053122;-1143874,5462847285;-1232749,009357598;-1071300,9499562788;120296,02519351021;36,0;svr01;2810,0;2723,3992685020357;86,60073149796426
0,005038785934448242;0,0003198663819913353;0,0016872882843017578;4,570080560724671e-05;poly;0,2;0,1;{'kernel': 'poly', 'epsilon': 0.2, 'C': 0.1};-1056401,3475905478;-850581,6273374871;-966767,9304103582;-1102451,4859630656;-1190732,290260812;-1033386,9363124542;116544,41942098277;29,0;svr01;2850,0;2568,1417169511706;281,85828304882943
0,04092020988464355;0,008153401904361417;0,0020751476287841795;0,000618682907123119;linear;0,5;0,1;{'kernel': 'linear', 'epsilon': 0.5, 'C': 0.1};-178479,11344427042;-165757,09558254172;-168050,43360529194;-199220,8362178911;-146613,78623857367;-171624,25301771378;17212,08694995497;12,0;svr01;2900,0;2616,8859078824908;283,11409211750924
0,005191326141357422;9,609398645266753e-05;0,005828142166137695;4,114803533044527e-05;rbf;0,5;0,1;{'kernel': 'rbf', 'epsilon': 0.5, 'C': 0.1};-1094782,0350204415;-882122,3850600448;-1002894,1634053126;-1143874,5462847285;-1232804,9034208064;-1071295,606638267;120307,79936827066;34,0;svr01;2750,0;2459,211367243567;290,7886327564329
0,004998779296875;0,0002308683121810494;0,001622772216796875;3,799126556722051e-05;poly;0,5;0,1;{'kernel': 'poly', 'epsilon': 0.5, 'C': 0.1};-1056450,221424003;-850628,2222939627;-966892,0693583408;-1102580,013865101;-1190748,3741260015;-1033459,7802134817;116537,1250390694;30,0;svr01;2750,0;2477,992982858458;272,00701714154184
0,22004938125610352;0,06086471395663612;0,0020970821380615233;0,0005926407485954986;linear;0,1;1,0;{'kernel': 'linear', 'epsilon': 0.1, 'C': 1};-175914,76283709728;-168278,2424041704;-170973,94872795115;-197359,9104055472;-146250,59378984114;-171755,49163292145;16346,789795742765;13,0;svr01;2770,0;2549,1863266170412;220,81367338295877
0,009090328216552734;0,0019836442493468363;0,008442258834838868;0,0019816331336861242;rbf;0,1;1,0;{'kernel': 'rbf', 'epsilon': 0.1, 'C': 1};-1078354,2053656664;-867912,4626948348;-987474,9894385013;-1126198,9777364458;-1214869,1968608655;-1054961,9664192628;118940,52284851497;33,0;svr01;2590,0;2295,9401551425844;294,05984485741556
0,005288362503051758;0,0012913488017633188;0,0016219139099121094;0,0004013422364612564;poly;0,1;1,0;{'kernel': 'poly', 'epsilon': 0.1, 'C': 1};-756451,4417179913;-601869,7894049556;-695075,9302082472;-795159,6459290384;-858983,5421276741;-741508,0698775813;87814,66338006724;24,0;svr01;2760,0;1881,9356733501345;878,0643266498655
0,23852181434631348;0,04176772241643427;0,001969051361083984;0,0004527930109193651;linear;0,2;1,0;{'kernel': 'linear', 'epsilon': 0.2, 'C': 1};-175940,14320224113;-168192,61741979816;-170983,28474872565;-197360,74546327817;-146358,21191147531;-171767,0005491037;16318,405948975324;14,0;svr01;;;
0,009587621688842774;0,00025075372305791583;0,0100372314453125;0,00024191107497551173;rbf;0,2;1,0;{'kernel': 'rbf', 'epsilon': 0.2, 'C': 1};-1078268,443640738;-867912,4626948348;-987455,8782682592;-1126198,9777364458;-1214869,1968608655;-1054940,9918402287;118939,32284213197;32,0;svr01;;;
0,006542491912841797;0,001613324159354787;0,0018979549407958985;0,0005596181000632438;poly;0,2;1,0;{'kernel': 'poly', 'epsilon': 0.2, 'C': 1};-756451,4417179913;-601869,7894049556;-695075,9302082472;-795126,5720273439;-858983,5421276741;-741501,4550972424;87810,62289264872;23,0;svr01;2620,0;1044,3369911849886;1575,6630088150114
0,21428513526916504;0,028591180988505077;0,001981973648071289;0,00046546434224063456;linear;0,5;1,0;{'kernel': 'linear', 'epsilon': 0.5, 'C': 1};-176017,2636137712;-168172,79408225627;-171009,7082469242;-197363,39539180137;-146433,0323030977;-171799,23872757013;16300,532061305925;15,0;svr01;;;
0,008476734161376953;0,001588098062529859;0,008830451965332031;0,001591809527966774;rbf;0,5;1,0;{'kernel': 'rbf', 'epsilon': 0.5, 'C': 1};-1078011,2784659516;-867912,4626948348;-987455,8782682592;-1126198,9777364458;-1214724,8209857212;-1054860,6836302425;118890,44516397653;31,0;svr01;2760,0;2555,769550913611;204,23044908638894
0,004565286636352539;9,660224205123746e-05;0,0013787269592285157;9,89066479680189e-06;poly;0,5;1,0;{'kernel': 'poly', 'epsilon': 0.5, 'C': 1};-757289,3284655256;-601869,7894049556;-694447,038689078;-794905,2568682242;-858622,9504455704;-741426,8727746707;87783,5520090375;22,0;svr01;2710,0;2576,029323929587;133,970676070413
1,9311538696289063;0,5932096921764438;0,0031732559204101563;0,0010716272266952326;linear;0,1;10,0;{'kernel': 'linear', 'epsilon': 0.1, 'C': 10};-177966,9342597093;-163321,8663990945;-168390,56875187778;-193841,4884890671;-142437,43830457606;-169191,65924086494;16944,049607496312;9,0;svr01;2820,0;2434,57285594348;385,42714405651986
0,008615589141845703;0,0011649815937083729;0,009116697311401366;0,0009722548572801746;rbf;0,1;10,0;{'kernel': 'rbf', 'epsilon': 0.1, 'C': 10};-930718,979605752;-743049,5855977478;-850205,0824441217;-971718,6647370552;-1055324,840607769;-910203,4305984892;106588,40941214771;25,0;svr01;2830,0;2622,395463222304;207,604536777696
0,007443523406982422;0,0012963309453241794;0,00217742919921875;0,00036172071036313263;poly;0,1;10,0;{'kernel': 'poly', 'epsilon': 0.1, 'C': 10};-203129,4577540347;-184745,61215368425;-183258,85633566973;-184859,198299684;-182079,22687582075;-187614,47028377868;7824,921716278701;19,0;svr01;2750,0;2601,10219311122;148,89780688878
2,0701526641845702;0,6353722914478175;0,0024263858795166016;0,0008640907304443434;linear;0,2;10,0;{'kernel': 'linear', 'epsilon': 0.2, 'C': 10};-177980,53230795625;-163361,01416572506;-166246,58859424657;-193857,5469154153;-142219,7293341314;-168733,08226349493;17057,278249132727;7,0;svr01;2840,0;2628,818854445258;211,18114555474222
0,008183145523071289;0,004069038344575487;0,009702634811401368;0,004907560780086829;rbf;0,2;10,0;{'kernel': 'rbf', 'epsilon': 0.2, 'C': 10};-930718,979605752;-743049,5855977478;-850205,0824441217;-971718,6647370552;-1055409,35735791;-910220,3339485172;106611,42640394847;26,0;svr01;2880,0;2538,270005458632;341,7299945413679
0,0046732425689697266;3,876454415618448e-05;0,0013621330261230468;2,3790494905745675e-05;poly;0,2;10,0;{'kernel': 'poly', 'epsilon': 0.2, 'C': 10};-203141,69322383474;-184750,83950696423;-183250,40965140774;-184857,19010281237;-182085,93063860075;-187617,21262472396;7829,525728441235;20,0;svr01;2790,0;2641,7323692977816;148,2676307022184
3,7835763931274413;3,297131304153395;0,002423381805419922;0,0008798220933537507;linear;0,5;10,0;{'kernel': 'linear', 'epsilon': 0.5, 'C': 10};-179097,12072542994;-163306,90304927036;-166195,16367477833;-193975,20279327277;-141845,30114392494;-168883,93827733528;17339,558123305687;8,0;svr01;;;
0,005730819702148437;0,000511107476593254;0,006464385986328125;0,0007106601997707159;rbf;0,5;10,0;{'kernel': 'rbf', 'epsilon': 0.5, 'C': 10};-930718,979605752;-743006,5028006708;-850205,0824441217;-971718,6647370552;-1055663,027608332;-910262,4514391863;106694,0515431308;27,0;svr01;2980,0;2414,082707518378;565,9172924816221
0,004668807983398438;5,1144558649523577e-05;0,0013583183288574218;1,64425179047803e-05;poly;0,5;10,0;{'kernel': 'poly', 'epsilon': 0.5, 'C': 10};-203178,51499224777;-184760,8514093427;-183225,18704011923;-184851,25274377767;-182106,1490201671;-187624,3910411309;7843,786304715653;21,0;svr01;2940,0;2469,635374778548;470,3646252214521
7,267754411697387;1,5330532077450798;0,002533626556396484;0,0008098126089503391;linear;0,1;100,0;{'kernel': 'linear', 'epsilon': 0.1, 'C': 100};-183524,53810394485;-126213,61574376072;-138059,401597618;-188301,70078999564;-135327,1557958276;-154285,28240622935;26163,94096926478;2,0;svr01;2940,0;2684,46358835105;255,53641164894998
0,013165950775146484;0,003366066128992473;0,014133644104003907;0,0035904497568659995;rbf;0,1;100,0;{'kernel': 'rbf', 'epsilon': 0.1, 'C': 100};-171779,83777264704;-154916,05517882426;-161623,15513523886;-172477,42895237167;-182574,9008272445;-168674,27557326527;9553,458038892188;5,0;svr01;2940,0;2589,180342310706;350,8196576892942
0,008924484252929688;0,002727320550395246;0,002784442901611328;0,0009933518832251562;poly;0,1;100,0;{'kernel': 'poly', 'epsilon': 0.1, 'C': 100};-190336,82381998605;-173758,61552145332;-168453,08911907754;-168997,87285080538;-164629,865200908;-173235,25330244607;9029,00674410435;18,0;svr01;2850,0;2513,081335777083;336,91866422291696
8,09042739868164;1,366335952128718;0,0028640270233154298;0,0009282440605767185;linear;0,2;100,0;{'kernel': 'linear', 'epsilon': 0.2, 'C': 100};-148012,20135432;-141715,05168001621;-141917,87611501984;-167677,148678265;-135568,56777641937;-146978,16912080807;11072,51507759492;1,0;svr01;2740,0;2515,26841174964;224,7315882503599
